Sample	Total records	QC failed	Duplicates	Non primary hit	Unmapped	Unique	Read-1	Read-2	+ve strand	-ve strand	Non-splice reads	Splice reads	Proper pairs	Different chrom
14340-YK-1	209.40469299999998	0.0	51.027015	50.435717	1.859232	99.510425	49.756377	49.754048	49.755254	49.755171	55.290718	44.219707	99.505754	0.0
14340-YK-2	220.885145	0.0	53.786124	50.449242999999996	1.835858	107.97739299999999	53.989760999999994	53.987632	53.988699999999994	53.988693	58.834818	49.142575	107.97270999999999	0.0
14340-YK-3	228.36882799999998	0.0	54.619613	52.997142	1.8954389999999999	111.826236	55.914204999999995	55.912031	55.91318	55.913056	61.233446	50.59279	111.821602	0.0
14340-YK-4	210.179386	0.0	51.70183	38.342486	2.023275	111.322015	55.662298	55.659717	55.660970999999996	55.661044	61.26056	50.061454999999995	111.31642	0.0
14340-YK-5	214.165447	0.0	54.316193	40.781780999999995	1.9788439999999998	110.183589	55.093128	55.090461	55.091848999999996	55.091739999999994	59.635877	50.547712	110.17849799999999	0.0
14340-YK-6	175.332104	0.0	43.832339999999995	28.882095999999997	1.843766	94.89108999999999	47.44699	47.4441	47.445571	47.445519	52.082066999999995	42.809022999999996	94.885778	0.0
14340-YK-7	205.914683	0.0	51.282427	38.618669	1.938307	107.38076099999999	53.691727	53.689034	53.690402999999996	53.690357999999996	58.717620999999994	48.66314	107.37536999999999	0.0
14340-YK-8	191.883725	0.0	44.578381	37.935514999999995	1.7529549999999998	101.34209899999999	50.672391	50.669708	50.670998	50.671101	55.764911999999995	45.577186999999995	101.336812	0.0
14340-YK-9	199.860995	0.0	48.179919	40.393571	1.824336	103.08653799999999	51.544439	51.542099	51.543302	51.543236	56.901461999999995	46.185075999999995	103.081744	0.0
