Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
14340-YK-1	(0, 722435.1320833738)	(1, 782896.8685724854)	(2, 845768.7336126044)	(3, 895678.7014544116)	(4, 941998.8517952804)	(5, 983772.7759679391)	(6, 1021222.3337262344)	(7, 1047132.8833161457)	(8, 1069253.6604151384)	(9, 1093663.5875326549)	(10, 1107690.0488250977)	(11, 1118994.8522929836)	(12, 1125087.9419325998)	(13, 1132647.9896037064)	(14, 1137949.8136096606)	(15, 1147014.6351780454)	(16, 1152490.7257578252)	(17, 1160668.4259411097)	(18, 1166282.6317757354)	(19, 1165119.3949684086)	(20, 1168797.4449882337)	(21, 1171869.9708092401)	(22, 1169942.1798241308)	(23, 1169907.7810434012)	(24, 1172528.695470204)	(25, 1176214.5743069379)	(26, 1178477.2961328)	(27, 1175049.8597831465)	(28, 1170227.467656705)	(29, 1163545.7712561458)	(30, 1158898.9892770837)	(31, 1153693.9487368378)	(32, 1150281.2940079833)	(33, 1147157.2041456567)	(34, 1143039.6755070523)	(35, 1143848.963358797)	(36, 1144337.994934397)	(37, 1143442.8394500262)	(38, 1143629.1858243344)	(39, 1146362.1147162195)	(40, 1154176.152867466)	(41, 1153651.2402133467)	(42, 1153260.6968117363)	(43, 1152523.6780902462)	(44, 1148316.0797596506)	(45, 1144962.4057495412)	(46, 1145200.3436853134)	(47, 1145280.0594949138)	(48, 1148506.054990791)	(49, 1149001.0467082832)	(50, 1142549.697674882)	(51, 1140821.5748652327)	(52, 1139145.334618645)	(53, 1136519.1882710156)	(54, 1133902.4761603356)	(55, 1129644.0782298564)	(56, 1120619.2007499656)	(57, 1110887.7726873974)	(58, 1105709.3656175667)	(59, 1101260.0159353344)	(60, 1095454.3496062402)	(61, 1091180.0674004445)	(62, 1092705.6199760444)	(63, 1092366.5567303644)	(64, 1088480.9430458844)	(65, 1079064.8196476607)	(66, 1071448.2290600173)	(67, 1066770.0425862346)	(68, 1065323.8751231425)	(69, 1061429.605369996)	(70, 1060677.867615615)	(71, 1059000.8901574458)	(72, 1056762.317729704)	(73, 1054402.3572695325)	(74, 1046687.6961041327)	(75, 1044099.2079674071)	(76, 1041007.5078297989)	(77, 1033012.2839711369)	(78, 1026755.7520466613)	(79, 1020591.3913029184)	(80, 1015595.4438150751)	(81, 1008759.7688758353)	(82, 1001507.7837220492)	(83, 991526.5940053945)	(84, 976036.598304479)	(85, 960757.5600056747)	(86, 942252.0735485541)	(87, 927013.1362044076)	(88, 898588.2568101422)	(89, 863829.0172374919)	(90, 821585.4984331398)	(91, 772204.1436842129)	(92, 716488.3694825694)	(93, 655461.9037692804)	(94, 592948.1490503089)	(95, 512539.13727105333)	(96, 413662.2137768086)	(97, 304024.68661283585)	(98, 186690.50790680735)	(99, 59921.88128047573)
14340-YK-2	(0, 776091.1780433538)	(1, 837168.4292093717)	(2, 902973.6722582714)	(3, 957011.4058947051)	(4, 1007678.6507087642)	(5, 1053474.1998481795)	(6, 1095298.312511563)	(7, 1124918.3415062285)	(8, 1150504.441008435)	(9, 1178090.6764708518)	(10, 1194967.812030556)	(11, 1209662.19729012)	(12, 1218613.3994748113)	(13, 1228965.6666954185)	(14, 1236642.2914468003)	(15, 1248167.1920528389)	(16, 1255410.7230437817)	(17, 1265467.2104603832)	(18, 1272864.5606863075)	(19, 1272414.890411572)	(20, 1277085.7005252128)	(21, 1280490.396189793)	(22, 1279536.4378156567)	(23, 1280628.5508056558)	(24, 1284020.0024928534)	(25, 1288732.6363409844)	(26, 1291314.1375422603)	(27, 1287845.3635486113)	(28, 1282291.363505929)	(29, 1275392.4955647062)	(30, 1270460.8711925303)	(31, 1264964.0484840132)	(32, 1261421.483226287)	(33, 1258100.498038186)	(34, 1253483.3243676228)	(35, 1254028.4050787203)	(36, 1253973.839446018)	(37, 1252630.9102934767)	(38, 1252360.1514900005)	(39, 1254454.2723449764)	(40, 1262149.1937046943)	(41, 1260855.6139751226)	(42, 1260040.813371925)	(43, 1258326.7416370953)	(44, 1253085.6917672148)	(45, 1248364.2038546829)	(46, 1247698.0279329875)	(47, 1246497.8048135466)	(48, 1248940.21621977)	(49, 1248590.0525274298)	(50, 1241247.9051759422)	(51, 1238386.6656332666)	(52, 1235645.835465166)	(53, 1231760.931087233)	(54, 1228077.7167947348)	(55, 1222578.8523453218)	(56, 1211751.8063928373)	(57, 1200417.7960996053)	(58, 1193661.6450445098)	(59, 1187774.2124176074)	(60, 1180505.52919852)	(61, 1174728.2544569625)	(62, 1175091.4370853174)	(63, 1173481.7457053848)	(64, 1168257.2407373076)	(65, 1157185.8154058396)	(66, 1148180.7849029896)	(67, 1141992.6275881354)	(68, 1139464.4764626964)	(69, 1133968.370937092)	(70, 1132067.4457945402)	(71, 1129332.9695489046)	(72, 1126074.0860501193)	(73, 1122731.1637124133)	(74, 1113700.3360771947)	(75, 1109928.3478998786)	(76, 1105834.2166204373)	(77, 1096896.1651066388)	(78, 1089302.3154423751)	(79, 1081788.3928734087)	(80, 1075786.9093509868)	(81, 1068001.0310917203)	(82, 1059960.3002798427)	(83, 1048976.6020473375)	(84, 1032213.6757178351)	(85, 1015940.6713534882)	(86, 995893.2722863598)	(87, 979225.7820570485)	(88, 949051.6257743192)	(89, 911969.6010782898)	(90, 866898.761075282)	(91, 814305.0515198071)	(92, 755244.4401064788)	(93, 690580.7454676974)	(94, 624549.8944154062)	(95, 540145.2981670336)	(96, 436469.6359635051)	(97, 321449.3096141604)	(98, 198284.81751119066)	(99, 63848.48126376396)
14340-YK-3	(0, 821796.7202711991)	(1, 890082.3193131133)	(2, 961965.8854470785)	(3, 1020039.4746127581)	(4, 1073612.0247676997)	(5, 1121510.1985342975)	(6, 1164531.027432338)	(7, 1194460.1220571527)	(8, 1219839.6659754624)	(9, 1247010.9063756687)	(10, 1262767.1413005535)	(11, 1275555.727438964)	(12, 1282990.530181904)	(13, 1291337.684196388)	(14, 1297094.1360519074)	(15, 1307096.0572311203)	(16, 1312588.2120502566)	(17, 1321513.6125248054)	(18, 1327373.257985727)	(19, 1325408.1046885834)	(20, 1328751.9403257044)	(21, 1330912.1861499832)	(22, 1328360.8069647653)	(23, 1327634.542510967)	(24, 1329568.7694137043)	(25, 1332803.7451574043)	(26, 1333920.744776134)	(27, 1328735.6431341798)	(28, 1321968.0037978466)	(29, 1313325.6571020763)	(30, 1307328.368547876)	(31, 1300696.7644140653)	(32, 1295870.9695522874)	(33, 1291041.087578609)	(34, 1285148.4752617269)	(35, 1284881.5651158064)	(36, 1284121.0604392888)	(37, 1282163.0380012768)	(38, 1280886.6048020613)	(39, 1282656.5588098208)	(40, 1289849.9707047483)	(41, 1288433.9176900194)	(42, 1286929.2005938964)	(43, 1284850.0859728395)	(44, 1279067.8329162328)	(45, 1273724.3533046613)	(46, 1272809.3859598455)	(47, 1271292.3498398077)	(48, 1273500.8778887975)	(49, 1272996.9021543884)	(50, 1265166.9500358899)	(51, 1262139.5286168521)	(52, 1259031.6027381052)	(53, 1254839.729541358)	(54, 1250869.0329658252)	(55, 1245103.4438449172)	(56, 1234103.2725225312)	(57, 1222176.791399624)	(58, 1215273.500402303)	(59, 1209386.9959130164)	(60, 1202336.505364887)	(61, 1196616.6149143558)	(62, 1197244.4307594378)	(63, 1195738.1708384543)	(64, 1190525.579483039)	(65, 1179008.0437043272)	(66, 1169578.3299857154)	(67, 1163475.9229982796)	(68, 1160878.0804253665)	(69, 1155301.0533350424)	(70, 1153468.6978096587)	(71, 1150873.731801)	(72, 1147675.036019354)	(73, 1144528.6250191685)	(74, 1135689.677417903)	(75, 1132253.021253667)	(76, 1128454.8290824154)	(77, 1119564.6133685333)	(78, 1112103.1830038258)	(79, 1104754.7250064665)	(80, 1098908.3517137386)	(81, 1091084.024828005)	(82, 1082960.9546306732)	(83, 1071917.1626371022)	(84, 1055147.527928513)	(85, 1038612.1215984616)	(86, 1018470.8518119693)	(87, 1001749.5170527763)	(88, 970933.1375518691)	(89, 932962.5051103373)	(90, 886630.9664157452)	(91, 833013.0526353911)	(92, 772812.196395811)	(93, 706989.0415553349)	(94, 639310.7140286451)	(95, 552843.8263602012)	(96, 446934.8644500237)	(97, 329069.94044164993)	(98, 202806.8265520265)	(99, 65323.92723870728)
14340-YK-4	(0, 777813.5568035848)	(1, 840515.1691679583)	(2, 907368.4655018618)	(3, 961720.3739931299)	(4, 1012817.2867372178)	(5, 1059318.6396398125)	(6, 1101346.266565953)	(7, 1130688.1567757665)	(8, 1155527.6826947695)	(9, 1182378.0631620798)	(10, 1198583.817344777)	(11, 1212756.054459923)	(12, 1221361.5094304464)	(13, 1231337.4518241046)	(14, 1239008.3671798427)	(15, 1250560.7302510869)	(16, 1257636.7320747552)	(17, 1267637.9897523022)	(18, 1274701.1466397578)	(19, 1273925.0344299548)	(20, 1278521.8687337858)	(21, 1281992.2280631715)	(22, 1281061.9336977971)	(23, 1281791.124989539)	(24, 1284945.4095318324)	(25, 1289970.1421874638)	(26, 1292540.3184284011)	(27, 1289143.1876170617)	(28, 1283670.6084744306)	(29, 1276805.799533041)	(30, 1271910.7837038636)	(31, 1266194.5631555433)	(32, 1262815.5794662458)	(33, 1259434.2971263377)	(34, 1254645.5514219275)	(35, 1255018.3010493284)	(36, 1254930.5041032594)	(37, 1253576.4066912923)	(38, 1253076.091998004)	(39, 1255033.367208466)	(40, 1261919.2201656173)	(41, 1260718.3578899663)	(42, 1259691.238262363)	(43, 1257720.143237346)	(44, 1252696.663863616)	(45, 1248442.51134692)	(46, 1247546.427012909)	(47, 1246442.9626308717)	(48, 1248937.944777454)	(49, 1248630.5445656704)	(50, 1241014.6144570112)	(51, 1238350.7670212847)	(52, 1235751.8062632652)	(53, 1232221.4710539915)	(54, 1228681.6803417318)	(55, 1223311.2379888282)	(56, 1212389.9116611874)	(57, 1201139.3236474867)	(58, 1194600.1444768854)	(59, 1189062.5512837756)	(60, 1182095.1516943667)	(61, 1176367.2931071825)	(62, 1176822.5604636546)	(63, 1175454.3712983192)	(64, 1170456.459632657)	(65, 1159568.9676806056)	(66, 1150875.4669997147)	(67, 1145228.0937793578)	(68, 1142946.409939337)	(69, 1137835.1200058835)	(70, 1136163.1297129595)	(71, 1133371.0239324193)	(72, 1130368.275672041)	(73, 1127331.6631945593)	(74, 1118864.601641716)	(75, 1115359.5818741622)	(76, 1111305.6829370165)	(77, 1102184.7829159237)	(78, 1094626.3114001327)	(79, 1087288.7487265153)	(80, 1081143.531510047)	(81, 1073464.3157692614)	(82, 1065610.530451801)	(83, 1054832.1590637187)	(84, 1038234.5440327052)	(85, 1021864.1506967876)	(86, 1001867.3160046436)	(87, 985307.3990131052)	(88, 955190.4421213145)	(89, 917956.2993296436)	(90, 872753.949783495)	(91, 820137.2640004287)	(92, 760908.1990386688)	(93, 696160.8475713227)	(94, 629935.1432724703)	(95, 545288.1243266043)	(96, 441326.62722976896)	(97, 325466.4209393039)	(98, 200626.8601142966)	(99, 64774.108483485135)
14340-YK-5	(0, 802818.092945909)	(1, 866649.6487403759)	(2, 935247.815399938)	(3, 991635.9975896359)	(4, 1045118.5107744581)	(5, 1093446.4635136046)	(6, 1137790.6981406126)	(7, 1168813.2825745211)	(8, 1195604.6754104043)	(9, 1224638.4842415121)	(10, 1242352.2352362534)	(11, 1258069.0974008131)	(12, 1267816.8620710862)	(13, 1279081.076967086)	(14, 1287626.4843239798)	(15, 1300412.973768568)	(16, 1307928.8335236327)	(17, 1318835.7670134434)	(18, 1326843.3210193862)	(19, 1326502.0607528563)	(20, 1331650.519986147)	(21, 1335548.3596130894)	(22, 1334599.9705521138)	(23, 1335519.8813176174)	(24, 1339087.1737896053)	(25, 1344672.9857453164)	(26, 1347920.7779506184)	(27, 1344579.3792852624)	(28, 1338740.8164746067)	(29, 1331522.5474505764)	(30, 1326071.3021009278)	(31, 1319888.350403754)	(32, 1316284.50616168)	(33, 1312608.2367170604)	(34, 1307621.1239719836)	(35, 1308217.174375948)	(36, 1308358.2083703275)	(37, 1307111.85095881)	(38, 1306710.7178349602)	(39, 1308874.6959303832)	(40, 1316818.015379839)	(41, 1315632.284544414)	(42, 1314360.7086833015)	(43, 1312351.6546473776)	(44, 1306778.0949549198)	(45, 1302163.1676900072)	(46, 1301300.1208843084)	(47, 1300046.7979480582)	(48, 1302396.4845812584)	(49, 1301787.555071582)	(50, 1293604.2146451531)	(51, 1290763.0925512565)	(52, 1287702.9082970987)	(53, 1283992.8591229238)	(54, 1280177.803148004)	(55, 1274209.283740217)	(56, 1262642.5709486883)	(57, 1250619.7680201032)	(58, 1243531.4166561468)	(59, 1237666.8230464803)	(60, 1230037.5990407069)	(61, 1224056.0227288078)	(62, 1224427.5556901793)	(63, 1223045.7113107145)	(64, 1217483.195429342)	(65, 1205746.112492228)	(66, 1196545.8699466265)	(67, 1190664.610330679)	(68, 1188144.1271482534)	(69, 1182701.7312898112)	(70, 1181065.2559917378)	(71, 1178072.3973474363)	(72, 1174635.609448621)	(73, 1171205.4787720598)	(74, 1161716.3955432533)	(75, 1157540.9357891965)	(76, 1153135.0282249677)	(77, 1143298.784893608)	(78, 1134947.2350804608)	(79, 1127044.2145210211)	(80, 1120413.73489762)	(81, 1112207.0484322147)	(82, 1103962.1590387058)	(83, 1092787.287244936)	(84, 1074969.0099649038)	(85, 1057651.183385719)	(86, 1036408.7196023157)	(87, 1019058.63923344)	(88, 987147.461226704)	(89, 948138.3526834715)	(90, 900733.174831443)	(91, 845443.3468147948)	(92, 783232.0202290345)	(93, 715179.0261225158)	(94, 646189.1798306039)	(95, 558483.277432566)	(96, 450980.58897129155)	(97, 331821.6929291674)	(98, 204038.94989867418)	(99, 65809.07178911105)
14340-YK-6	(0, 673387.9341532628)	(1, 730591.6076272242)	(2, 789046.9417265352)	(3, 835858.1084463919)	(4, 879530.0868822003)	(5, 918937.7974133729)	(6, 954105.4506283632)	(7, 978465.0790600759)	(8, 999304.214327142)	(9, 1021671.3262745142)	(10, 1034709.1758925482)	(11, 1045372.7894649731)	(12, 1051869.3995274184)	(13, 1059446.1928467443)	(14, 1065009.6090153775)	(15, 1074015.2346000862)	(16, 1078785.8427938595)	(17, 1086412.786813669)	(18, 1091537.8437855411)	(19, 1090429.0829726977)	(20, 1093811.5137787224)	(21, 1096382.014941015)	(22, 1094997.6630538087)	(23, 1095113.4207683592)	(24, 1097480.960323475)	(25, 1101286.228333874)	(26, 1103216.5399542954)	(27, 1100156.8010270537)	(28, 1095272.1479561166)	(29, 1088935.23060908)	(30, 1084344.1763820194)	(31, 1079412.755479569)	(32, 1076198.051986787)	(33, 1072904.8123198505)	(34, 1068682.056199049)	(35, 1068977.5614631025)	(36, 1068891.31455679)	(37, 1067296.4662135926)	(38, 1066544.6284883078)	(39, 1068146.3311783073)	(40, 1074064.7077988714)	(41, 1072938.8488240233)	(42, 1071932.4098368348)	(43, 1070470.8042631424)	(44, 1065968.3564717227)	(45, 1062103.5185095652)	(46, 1061196.2261257218)	(47, 1060249.8921789825)	(48, 1062011.6047574861)	(49, 1061415.4073079918)	(50, 1054821.2683134947)	(51, 1052364.5678364965)	(52, 1049993.7701576394)	(53, 1047010.0022621991)	(54, 1043850.1996425806)	(55, 1039137.7753134352)	(56, 1029968.1845358018)	(57, 1020559.5253056153)	(58, 1015200.0540358212)	(59, 1010759.4335080058)	(60, 1005117.7520985676)	(61, 1000346.9209541223)	(62, 1000582.7200870876)	(63, 999318.67019909)	(64, 994983.8125637006)	(65, 985615.2286833172)	(66, 978226.2459969864)	(67, 973572.2420612763)	(68, 971480.9804998309)	(69, 967247.7752046876)	(70, 965943.0606759296)	(71, 963720.1334618382)	(72, 961150.6004839182)	(73, 958591.3818742636)	(74, 951364.5015340258)	(75, 948419.3006912709)	(76, 945134.2738043782)	(77, 937398.7004098569)	(78, 930871.957512635)	(79, 924803.6984463332)	(80, 919618.1655608403)	(81, 913285.2534537126)	(82, 906565.0681573604)	(83, 897478.7378496655)	(84, 883072.0516341587)	(85, 868704.2042618953)	(86, 851549.825462224)	(87, 837306.3546328406)	(88, 811699.1744150969)	(89, 780011.8450379253)	(90, 741449.0982503495)	(91, 696237.3891657684)	(92, 645251.6257349253)	(93, 589451.8257569283)	(94, 532600.1452740062)	(95, 460530.55899419746)	(96, 372464.20432566793)	(97, 274131.54684846743)	(98, 168461.5905402674)	(99, 54281.17153940379)
14340-YK-7	(0, 758991.3493639433)	(1, 819913.7211980809)	(2, 884785.2154886702)	(3, 937741.4314628612)	(4, 987885.7518213053)	(5, 1032931.2243186677)	(6, 1073969.3538121972)	(7, 1102992.2528711255)	(8, 1128064.3590580213)	(9, 1155213.910420504)	(10, 1171756.0694169712)	(11, 1186261.4600327224)	(12, 1195343.0105083056)	(13, 1205655.6217868212)	(14, 1213425.6076856495)	(15, 1225263.216253049)	(16, 1232395.686060526)	(17, 1242508.8539000184)	(18, 1249948.7776939177)	(19, 1249481.6819214465)	(20, 1254214.3184121735)	(21, 1257897.7611039244)	(22, 1257233.770358538)	(23, 1258295.7037250216)	(24, 1261727.0538098349)	(25, 1266621.2286562063)	(26, 1269675.4051685422)	(27, 1266745.9212807133)	(28, 1261382.867986299)	(29, 1254794.8592588084)	(30, 1249807.2108667053)	(31, 1244508.4113894831)	(32, 1241186.2969922193)	(33, 1237756.3038900953)	(34, 1233370.482475054)	(35, 1234225.8797434524)	(36, 1234231.0388433887)	(37, 1232869.0075677058)	(38, 1232487.013185304)	(39, 1234489.0891778062)	(40, 1242038.5292024487)	(41, 1240793.159682171)	(42, 1239887.8953133873)	(43, 1238123.989723056)	(44, 1232800.0931538257)	(45, 1228233.8455393575)	(46, 1227410.8550428448)	(47, 1226395.161216468)	(48, 1228742.3168493458)	(49, 1228363.47472471)	(50, 1221060.7635115858)	(51, 1218507.3019716432)	(52, 1215877.2349806584)	(53, 1212284.5978965063)	(54, 1208627.6820527902)	(55, 1203126.7018137297)	(56, 1192635.220474613)	(57, 1181561.3077196507)	(58, 1175331.5688861513)	(59, 1169854.8875589806)	(60, 1162747.8656273573)	(61, 1157113.6280366213)	(62, 1157274.5186109135)	(63, 1155790.2581733817)	(64, 1150666.4796870556)	(65, 1139943.8564578837)	(66, 1131249.604333312)	(67, 1125698.7611161922)	(68, 1123375.7876882618)	(69, 1118259.661389317)	(70, 1116787.8850375088)	(71, 1114087.7985571858)	(72, 1111042.5697117294)	(73, 1108113.422321615)	(74, 1099523.420729826)	(75, 1095866.297639706)	(76, 1091975.514247249)	(77, 1082950.125617321)	(78, 1075330.9041488913)	(79, 1067841.2220574808)	(80, 1061469.264941931)	(81, 1053833.480977847)	(82, 1045935.9604279398)	(83, 1035390.138756763)	(84, 1018739.1883618942)	(85, 1002308.4519923765)	(86, 982344.4298059619)	(87, 965819.1832310857)	(88, 935717.3522360094)	(89, 898841.7041101096)	(90, 854125.7333346279)	(91, 801976.820502964)	(92, 743416.930360293)	(93, 679265.2773896443)	(94, 613816.4305718371)	(95, 530684.1709490323)	(96, 428931.1453952429)	(97, 315601.6003577341)	(98, 194191.10233740575)	(99, 62604.0288833494)
14340-YK-8	(0, 689735.2998400982)	(1, 744843.7210502946)	(2, 803634.0417001146)	(3, 851788.8932008805)	(4, 897187.7731656281)	(5, 938312.8463174367)	(6, 975523.3852648428)	(7, 1001582.7645045613)	(8, 1024044.4838252696)	(9, 1048171.81520199)	(10, 1063009.1277862128)	(11, 1075883.50673092)	(12, 1084184.1326349208)	(13, 1093345.4608402436)	(14, 1100202.563304074)	(15, 1110401.655945882)	(16, 1116471.983508708)	(17, 1125274.115464135)	(18, 1131938.0478601775)	(19, 1131617.4338717596)	(20, 1135650.6681840094)	(21, 1138685.127313103)	(22, 1138112.73871924)	(23, 1139017.187145522)	(24, 1141797.3424180148)	(25, 1145965.6921025252)	(26, 1148207.0033573825)	(27, 1145066.4195988455)	(28, 1140049.4769495495)	(29, 1133808.0703209639)	(30, 1129517.158779422)	(31, 1124525.6701993889)	(32, 1121216.7992766874)	(33, 1117937.4483831152)	(34, 1113668.0958483424)	(35, 1114000.4508603641)	(36, 1113843.4214969147)	(37, 1112489.5793236643)	(38, 1112105.0624380098)	(39, 1113715.4682326787)	(40, 1119889.3512594474)	(41, 1118773.7650592674)	(42, 1117875.4110453094)	(43, 1116340.672674146)	(44, 1111868.1846408953)	(45, 1108111.6325209162)	(46, 1107368.4958320078)	(47, 1106170.0745015298)	(48, 1108182.7683222995)	(49, 1107867.9089969054)	(50, 1101540.5055893555)	(51, 1099140.1372920284)	(52, 1096915.4061461077)	(53, 1093761.9397257154)	(54, 1090569.2941221355)	(55, 1085783.8115243025)	(56, 1076314.6204629836)	(57, 1066423.017672757)	(58, 1060654.583186677)	(59, 1055718.8154187845)	(60, 1049659.1812589976)	(61, 1044662.482856405)	(62, 1045031.858261114)	(63, 1043651.8371082359)	(64, 1039218.0221983152)	(65, 1029513.331058493)	(66, 1021717.5075066796)	(67, 1016607.506760268)	(68, 1014469.3995501421)	(69, 1009823.5700114935)	(70, 1008185.924222669)	(71, 1005641.6473478981)	(72, 1002719.9369201796)	(73, 999897.5839630199)	(74, 992408.0760798972)	(75, 989380.7139303575)	(76, 985883.2902214524)	(77, 978264.5538313761)	(78, 971733.0326917241)	(79, 965271.3893459389)	(80, 960215.1378256502)	(81, 953665.1049824643)	(82, 946857.8605118511)	(83, 937286.8145654736)	(84, 922592.6431580356)	(85, 908118.3206738565)	(86, 890379.1511790401)	(87, 875412.5225646736)	(88, 848562.9122128743)	(89, 815596.9116038877)	(90, 775427.6619772044)	(91, 728683.2199071451)	(92, 676015.8440446081)	(93, 618229.4932035822)	(94, 558920.6395142311)	(95, 483409.1243770001)	(96, 390887.389687307)	(97, 287992.1313379646)	(98, 177391.20656856595)	(99, 57132.06747550809)
14340-YK-9	(0, 716140.0090000367)	(1, 774060.1656119779)	(2, 835515.8730213603)	(3, 885474.1928270585)	(4, 931840.8624157088)	(5, 973972.6476619063)	(6, 1012333.1576321345)	(7, 1039222.7244246212)	(8, 1062296.1749691148)	(9, 1086798.3076854467)	(10, 1101805.9063957643)	(11, 1114753.1446130257)	(12, 1122704.3019038874)	(13, 1131738.9926920226)	(14, 1138485.0657465036)	(15, 1148793.2344100398)	(16, 1155428.5281558232)	(17, 1164712.202917416)	(18, 1171180.771355876)	(19, 1170200.663247325)	(20, 1173920.2331518321)	(21, 1176691.090069983)	(22, 1175665.2616448426)	(23, 1176342.6551115774)	(24, 1178794.250619703)	(25, 1182758.7699555499)	(26, 1184943.523887383)	(27, 1181680.2450111264)	(28, 1176416.6082722724)	(29, 1169872.956168169)	(30, 1165127.1076336962)	(31, 1160035.727470567)	(32, 1156780.2452475016)	(33, 1153365.5025753535)	(34, 1148786.1150175284)	(35, 1149258.0078033218)	(36, 1148881.6595447357)	(37, 1147633.9511436778)	(38, 1147106.7440900654)	(39, 1148793.923406286)	(40, 1155192.9323710005)	(41, 1154105.3557680384)	(42, 1153262.1293079043)	(43, 1151461.186692173)	(44, 1146407.8204851039)	(45, 1141955.4757927766)	(46, 1141109.7905652458)	(47, 1139741.9876193157)	(48, 1141956.084371589)	(49, 1141624.2939153991)	(50, 1134817.017221347)	(51, 1132109.8803833453)	(52, 1129570.1351624494)	(53, 1126004.561561203)	(54, 1122672.717223438)	(55, 1117622.0094292907)	(56, 1107649.9241644687)	(57, 1097340.921197151)	(58, 1091193.6760557296)	(59, 1085855.139749652)	(60, 1079332.3643300266)	(61, 1073997.649696768)	(62, 1074242.1289505565)	(63, 1072690.7553117883)	(64, 1067969.7170458094)	(65, 1057859.4147048325)	(66, 1049652.4236771776)	(67, 1044238.1729161682)	(68, 1042122.6238468894)	(69, 1037120.9582512329)	(70, 1035387.8396804056)	(71, 1032838.1665665605)	(72, 1029775.202265675)	(73, 1026776.0519767745)	(74, 1018754.4055447793)	(75, 1015495.6096864567)	(76, 1011756.9695920664)	(77, 1003451.0884427149)	(78, 996316.5839231723)	(79, 989382.61637706)	(80, 983883.7950874377)	(81, 976927.2984072485)	(82, 969728.9951863476)	(83, 959704.4280509531)	(84, 944626.2279238083)	(85, 929839.4621021056)	(86, 911628.7189458531)	(87, 896410.1389677061)	(88, 868803.49032539)	(89, 834753.8914776628)	(90, 793556.8427499438)	(91, 745676.1543898672)	(92, 691801.4312001478)	(93, 632940.6902211722)	(94, 572479.5987566124)	(95, 495100.4972442163)	(96, 400357.4009377736)	(97, 294949.0101962185)	(98, 181910.42561095336)	(99, 58622.35259750858)
