Sample	Total sequences	Mapped &amp; paired	Properly paired	Duplicated	QC Failed	Reads MQ0	Mapped bases (CIGAR)	Bases Trimmed	Duplicated bases	Diff chromosomes	Other orientation	Inward pairs	Outward pairs
14340-YK-1	158.968976	157.071878	157.071878	0.0	0.0	6.442041	22492.639789999997	0.0	0.0	0.0	0.0	68.51477899999999	10.02116
14340-YK-2	170.435902	168.56204	168.56204	53.786124	0.0	6.370877999999999	24502.238687999998	0.0	7874.254475	0.0	0.0	76.333342	7.947678
14340-YK-3	175.37168599999998	173.437568	173.437568	54.619613	0.0	6.727183999999999	25180.287143999998	0.0	7985.026131	0.0	0.0	77.749471	8.969313
14340-YK-4	171.83689999999999	169.76979599999999	169.76979599999999	0.0	0.0	4.429713	24658.968683	0.0	0.0	0.0	0.0	77.054885	7.830012999999999
14340-YK-5	173.383666	171.361808	171.361808	54.316193	0.0	4.764289	24896.998929999998	0.0	7952.973220999999	0.0	0.0	78.01667499999999	7.664229
14340-YK-6	146.450008	144.566056	144.566056	43.832339999999995	0.0	3.142845	20842.855273999998	0.0	6369.718395999999	0.0	0.0	64.56854	7.714487999999999
14340-YK-7	167.29601399999999	165.315234	165.315234	0.0	0.0	4.510904	24056.26472	0.0	0.0	0.0	0.0	75.554238	7.103378999999999
14340-YK-8	153.94821	152.155158	152.155158	0.0	0.0	4.57477	22186.665547	0.0	0.0	0.0	0.0	69.579174	6.498405
14340-YK-9	159.467424	157.607012	157.607012	0.0	0.0	4.912795	22965.696250999998	0.0	0.0	0.0	0.0	72.07337	6.730136
