Sample	pe_sense	pe_antisense	failed
14340-YK-1	0.0222	0.7123	0.2654
14340-YK-2	0.022	0.7051	0.2729
14340-YK-3	0.0233	0.688	0.2887
14340-YK-4	0.025	0.6857	0.2893
14340-YK-5	0.0238	0.6873	0.2889
14340-YK-6	0.0219	0.7085	0.2697
14340-YK-7	0.023	0.7022	0.2748
14340-YK-8	0.0223	0.7143	0.2634
14340-YK-9	0.0222	0.7083	0.2695
