Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
14340-YK-4_2 - polya	(1, 0.004328523151895781)	(2, 0.009923363375386776)	(3, 0.012330296926911507)	(4, 0.01517601865489892)	(5, 0.017314092607583122)	(6, 0.01910998161628847)	(7, 0.020761547723451713)	(8, 0.024184561057607534)	(9, 0.028638784801169017)	(10, 0.03972790477481845)	(15, 0.055298716399097045)	(20, 0.07264702750107807)	(25, 0.08717196364692334)	(30, 0.09996758554187139)	(35, 0.11247898443233088)	(40, 0.12506091532144725)	(45, 0.13880301611586338)	(50, 0.1542707066992014)	(55, 0.1703273278323806)	(60, 0.18604781627229075)	(65, 0.20331209420095453)	(70, 0.22218068412547015)	(75, 0.2395168907260315)	(80, 0.25593804357504124)	(85, 0.2745196171485868)	(90, 0.29507888003100613)	(95, 0.31443118445456125)	(100, 0.33365918495969143)	(105, 0.34929517466853743)	(110, 0.36622192323069147)	(115, 0.3865893763213838)	(120, 0.41323999676437373)	(125, 0.435405666652506)	(130, 0.449626593589619)	(135, 0.4640707554663754)	(140, 0.4693136340332024)
14340-YK-4_2 - polyg	(1, 0.37456099359334344)	(2, 0.377716311223026)	(3, 0.3791665236046507)	(4, 0.3814861650786298)	(5, 0.3830003916504546)	(6, 0.3850581568917968)	(7, 0.3873498649009613)	(8, 0.3896695063749404)	(9, 0.3920240646799378)	(10, 0.39758259139916974)	(15, 0.40190157061725384)	(20, 0.40382711745847366)	(25, 0.4052037717160866)	(30, 0.4061874952353074)	(35, 0.4070552948755477)	(40, 0.4078094984255419)	(45, 0.4085006189008298)	(50, 0.4091186468098528)	(55, 0.409681971683614)	(60, 0.4102280709207394)	(65, 0.4107616000986982)	(70, 0.41124438348224396)	(75, 0.4117041217573175)	(80, 0.41223765093527637)	(85, 0.41292597806408293)	(90, 0.4135558776956521)	(95, 0.4141131503187034)	(100, 0.41468182910655393)	(105, 0.41518067423236793)	(110, 0.41564390419054353)	(115, 0.4161334381614193)	(120, 0.4166516039337302)	(125, 0.41715696686800097)	(130, 0.41765604477268853)	(135, 0.41825684704507593)	(140, 0.4186516400144556)
14340-YK-5_1 - polya	(1, 0.0005582994190467746)	(2, 0.001315002763870502)	(3, 0.0024869701393901776)	(4, 0.0066396104463496575)	(5, 0.009586831553094512)	(6, 0.013831752755764202)	(7, 0.020591328366537133)	(8, 0.02655844178539863)	(9, 0.03500560427647204)	(10, 0.05722315272766236)	(15, 0.08071948369115692)	(20, 0.10185573074686285)	(25, 0.13307528057458423)	(30, 0.16519272351756595)	(35, 0.18690595687369999)	(40, 0.20551255387574976)	(45, 0.22504565107073002)	(50, 0.24505630190101066)	(55, 0.2637625622704275)	(60, 0.28232555654925423)	(65, 0.30147291960016576)	(70, 0.32441072044237435)	(75, 0.3453988566604654)	(80, 0.36444471072609574)	(85, 0.38148599303466113)	(90, 0.4004741715404726)	(95, 0.41982639817986084)	(100, 0.4372790225810544)	(105, 0.4564976726239022)	(110, 0.4760801400980874)	(115, 0.49043235710565725)	(120, 0.504377615363145)	(125, 0.5168290766213237)	(130, 0.5315040460616399)	(135, 0.5465781303759029)	(140, 0.551602133040606)
14340-YK-5_2 - polya	(1, 0.004584053494404715)	(2, 0.009568375373952468)	(3, 0.0116296998818793)	(4, 0.014324302036617451)	(5, 0.01631987640635076)	(6, 0.017999388708276592)	(7, 0.019390523211108016)	(8, 0.022496928862952983)	(9, 0.026480003024044952)	(10, 0.036597449727473176)	(15, 0.05087745693414973)	(20, 0.0671934114024328)	(25, 0.0806763423724124)	(30, 0.09240409070598381)	(35, 0.10390528944058663)	(40, 0.11569809580563373)	(45, 0.12851637362426055)	(50, 0.14292626619164922)	(55, 0.15790945382363755)	(60, 0.1727413007866612)	(65, 0.18883070565597568)	(70, 0.20653364198678323)	(75, 0.22259813101425602)	(80, 0.23807156090470483)	(85, 0.2552683365225418)	(90, 0.2742544387081999)	(95, 0.2922644397194832)	(100, 0.3106541766166139)	(105, 0.3254479577101571)	(110, 0.3415246739563114)	(115, 0.36086698039941084)	(120, 0.3869400246733738)	(125, 0.4083270450631722)	(130, 0.4219317868154893)	(135, 0.43546685649154515)	(140, 0.44036328081792897)
14340-YK-5_2 - polyg	(1, 0.32072109952964084)	(2, 0.323980922170604)	(3, 0.32537321018463183)	(4, 0.32730072739377886)	(5, 0.3287403093668581)	(6, 0.3305224841652616)	(7, 0.33249844884465646)	(8, 0.33452055397190644)	(9, 0.3366580102187942)	(10, 0.34175883672917606)	(15, 0.3458394979374816)	(20, 0.3478025432914771)	(25, 0.3492172094227146)	(30, 0.35022676242178424)	(35, 0.3511354985422906)	(40, 0.35193418969466245)	(45, 0.3526242200923355)	(50, 0.353229121363716)	(55, 0.3537920348275483)	(60, 0.35436786761678)	(65, 0.3549240907156733)	(70, 0.35543071283312233)	(75, 0.35589465503630546)	(80, 0.35641581139482886)	(85, 0.35701771353709866)	(90, 0.3576364569428357)	(95, 0.3581949870641218)	(100, 0.3587332153883515)	(105, 0.3592606007073354)	(110, 0.3597822184703373)	(115, 0.3603515915968694)	(120, 0.3608628277591039)	(125, 0.3613925201004805)	(130, 0.3619701985076264)	(135, 0.3625702550319821)	(140, 0.36297190763056075)
14340-YK-6_1 - polya	(1, 0.0005844997973642992)	(2, 0.0014052576903922055)	(3, 0.002694434813550847)	(4, 0.007041310643014782)	(5, 0.009933765247728767)	(6, 0.014501876981802555)	(7, 0.021623761195014753)	(8, 0.027817000870358436)	(9, 0.036517580797947105)	(10, 0.05964929684401247)	(15, 0.08450583355379537)	(20, 0.10711313856671145)	(25, 0.14017015280736617)	(30, 0.1740785155846492)	(35, 0.19721105102295383)	(40, 0.21714304037456933)	(45, 0.2379394885386418)	(50, 0.2588520172699479)	(55, 0.278245665920346)	(60, 0.2977480206078241)	(65, 0.31758905742087773)	(70, 0.34189687446107886)	(75, 0.36378202178042895)	(80, 0.38415539041827845)	(85, 0.40236638293662635)	(90, 0.4225084098322481)	(95, 0.44270560913864887)	(100, 0.46160652992248385)	(105, 0.48236856361250596)	(110, 0.5033788731510346)	(115, 0.5187260897930439)	(120, 0.533235341305)	(125, 0.5461052620768719)	(130, 0.56164011954168)	(135, 0.577458213590538)	(140, 0.5829675338768162)
14340-YK-6_2 - polya	(1, 0.004647319650539042)	(2, 0.010033457970176417)	(3, 0.012185728252059911)	(4, 0.01480914907153846)	(5, 0.016798906559294963)	(6, 0.018486854572244204)	(7, 0.01988118703277913)	(8, 0.023121883339193808)	(9, 0.027313074643191552)	(10, 0.03790098802862476)	(15, 0.05274345905122792)	(20, 0.06961037516638442)	(25, 0.08342614771315)	(30, 0.09567333038315709)	(35, 0.10752310781710575)	(40, 0.11961733726911099)	(45, 0.13314277183241946)	(50, 0.1482051131059003)	(55, 0.16393416653142143)	(60, 0.1794641076427937)	(65, 0.1965978724972142)	(70, 0.21564218692292592)	(75, 0.2331121757262041)	(80, 0.2492847934839307)	(85, 0.26728520219677965)	(90, 0.2870956483662329)	(95, 0.3058766647523843)	(100, 0.32417396658660474)	(105, 0.3392065366087246)	(110, 0.35471544665262156)	(115, 0.3735781291319561)	(120, 0.39905084880568936)	(125, 0.42029987461659957)	(130, 0.4341309424851653)	(135, 0.44791721691131625)	(140, 0.4528521432378481)
14340-YK-6_2 - polyg	(1, 0.457489903312262)	(2, 0.46096549206060816)	(3, 0.46267529053327194)	(4, 0.46545576153194884)	(5, 0.4672843718793105)	(6, 0.4698763826629494)	(7, 0.4727155767721092)	(8, 0.47536494501249876)	(9, 0.47810444639921085)	(10, 0.484697003225838)	(15, 0.48974118185094256)	(20, 0.4919710212648128)	(25, 0.49341997987463404)	(30, 0.49446470497973616)	(35, 0.4953450053754862)	(40, 0.49612943687923866)	(45, 0.4968256471518936)	(50, 0.49744346890032265)	(55, 0.4980085764146903)	(60, 0.4985635780914399)	(65, 0.4991153021992324)	(70, 0.49961649711893497)	(75, 0.5001146876004267)	(80, 0.5007234960342235)	(85, 0.5014579446113789)	(90, 0.5021421371311909)	(95, 0.5027178967446694)	(100, 0.5032977533193443)	(105, 0.5038273538366758)	(110, 0.5043741615910325)	(115, 0.5049428198051037)	(120, 0.5054918126054319)	(125, 0.5060263294761992)	(130, 0.5065633045236843)	(135, 0.50720051855511)	(140, 0.5075971043989291)
14340-YK-7_1 - polya	(1, 0.0006252390448465796)	(2, 0.0014333874087400552)	(3, 0.002620504753926773)	(4, 0.007066516241086294)	(5, 0.010187929522337573)	(6, 0.014596880951389554)	(7, 0.021436254900848984)	(8, 0.027746028665094197)	(9, 0.03624473682917514)	(10, 0.05945772264484437)	(15, 0.08448186936480148)	(20, 0.10685610238149487)	(25, 0.139672903384297)	(30, 0.17293657695873135)	(35, 0.19561613703480107)	(40, 0.21479531484832629)	(45, 0.23520727756251264)	(50, 0.2559329357362931)	(55, 0.27551523134316874)	(60, 0.29504444738294844)	(65, 0.31481562973759797)	(70, 0.3386258802316713)	(75, 0.36056017449405575)	(80, 0.38058862538111643)	(85, 0.3983463706433556)	(90, 0.4183071570372262)	(95, 0.438416183663527)	(100, 0.4569686878493112)	(105, 0.4775150231612811)	(110, 0.4984506086319547)	(115, 0.5139864240877848)	(120, 0.5286607725154766)	(125, 0.5416303582702215)	(130, 0.5572926561179157)	(135, 0.5734900533852528)	(140, 0.5790203704434943)
14340-YK-7_2 - polya	(1, 0.004885950241468395)	(2, 0.009896231000458864)	(3, 0.012072015057095145)	(4, 0.014780985756181853)	(5, 0.01677744695100745)	(6, 0.018489382538426767)	(7, 0.019970589376983004)	(8, 0.02314579951677749)	(9, 0.02721403750838917)	(10, 0.0376905572896674)	(15, 0.05231158705311412)	(20, 0.06881526776842394)	(25, 0.08237614077284591)	(30, 0.09410218225522098)	(35, 0.10585667629833666)	(40, 0.11784165999316636)	(45, 0.13097765736367156)	(50, 0.14592840209570085)	(55, 0.16127270073511732)	(60, 0.1761249374417253)	(65, 0.19248037792460496)	(70, 0.21083036682511755)	(75, 0.22728192436192768)	(80, 0.24282849918946664)	(85, 0.260371057017533)	(90, 0.2801293281261322)	(95, 0.29897448722239134)	(100, 0.3175030816932673)	(105, 0.332428243030345)	(110, 0.34840112807469525)	(115, 0.36747056029679226)	(120, 0.3933497184218627)	(125, 0.41498609763649236)	(130, 0.4293599009477894)	(135, 0.44382240930139555)	(140, 0.44903879180289374)
