Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
14340-YK-1	(5.0, 14577.0)	(10.0, 25237.0)	(15.0, 34341.0)	(20.0, 42166.0)	(25.0, 49142.0)	(30.0, 55459.0)	(35.0, 61347.0)	(40.0, 66645.0)	(45.0, 71609.0)	(50.0, 76092.0)	(55.0, 80546.0)	(60.0, 84426.0)	(65.0, 88223.0)	(70.0, 91857.0)	(75.0, 95292.0)	(80.0, 98497.0)	(85.0, 101376.0)	(90.0, 104126.0)	(95.0, 106633.0)	(100.0, 109119.0)
14340-YK-2	(5.0, 16120.0)	(10.0, 27806.0)	(15.0, 37708.0)	(20.0, 46290.0)	(25.0, 54046.0)	(30.0, 61041.0)	(35.0, 67362.0)	(40.0, 73382.0)	(45.0, 78742.0)	(50.0, 83894.0)	(55.0, 88616.0)	(60.0, 92905.0)	(65.0, 97058.0)	(70.0, 101038.0)	(75.0, 104781.0)	(80.0, 108262.0)	(85.0, 111535.0)	(90.0, 114699.0)	(95.0, 117629.0)	(100.0, 120424.0)
14340-YK-3	(5.0, 17235.0)	(10.0, 29703.0)	(15.0, 40125.0)	(20.0, 49079.0)	(25.0, 57130.0)	(30.0, 64274.0)	(35.0, 70841.0)	(40.0, 76838.0)	(45.0, 82457.0)	(50.0, 87708.0)	(55.0, 92621.0)	(60.0, 97228.0)	(65.0, 101409.0)	(70.0, 105492.0)	(75.0, 109200.0)	(80.0, 112611.0)	(85.0, 115884.0)	(90.0, 118959.0)	(95.0, 121921.0)	(100.0, 124664.0)
14340-YK-4	(5.0, 16942.0)	(10.0, 29387.0)	(15.0, 39611.0)	(20.0, 48616.0)	(25.0, 56791.0)	(30.0, 64144.0)	(35.0, 70899.0)	(40.0, 76993.0)	(45.0, 82605.0)	(50.0, 87962.0)	(55.0, 93105.0)	(60.0, 97774.0)	(65.0, 102182.0)	(70.0, 106301.0)	(75.0, 110324.0)	(80.0, 113996.0)	(85.0, 117583.0)	(90.0, 121018.0)	(95.0, 124129.0)	(100.0, 127065.0)
14340-YK-5	(5.0, 16607.0)	(10.0, 28293.0)	(15.0, 38250.0)	(20.0, 46809.0)	(25.0, 54424.0)	(30.0, 61407.0)	(35.0, 67779.0)	(40.0, 73808.0)	(45.0, 79437.0)	(50.0, 84631.0)	(55.0, 89423.0)	(60.0, 93983.0)	(65.0, 98174.0)	(70.0, 102162.0)	(75.0, 105928.0)	(80.0, 109529.0)	(85.0, 112990.0)	(90.0, 116091.0)	(95.0, 119145.0)	(100.0, 121999.0)
14340-YK-6	(5.0, 14378.0)	(10.0, 25063.0)	(15.0, 34062.0)	(20.0, 42090.0)	(25.0, 49326.0)	(30.0, 55941.0)	(35.0, 61993.0)	(40.0, 67528.0)	(45.0, 72593.0)	(50.0, 77235.0)	(55.0, 81850.0)	(60.0, 86052.0)	(65.0, 90016.0)	(70.0, 93737.0)	(75.0, 97231.0)	(80.0, 100590.0)	(85.0, 103703.0)	(90.0, 106744.0)	(95.0, 109489.0)	(100.0, 112207.0)
14340-YK-7	(5.0, 15822.0)	(10.0, 27453.0)	(15.0, 37286.0)	(20.0, 45851.0)	(25.0, 53580.0)	(30.0, 60700.0)	(35.0, 67081.0)	(40.0, 73010.0)	(45.0, 78334.0)	(50.0, 83409.0)	(55.0, 88213.0)	(60.0, 92702.0)	(65.0, 96915.0)	(70.0, 100757.0)	(75.0, 104483.0)	(80.0, 108002.0)	(85.0, 111405.0)	(90.0, 114578.0)	(95.0, 117662.0)	(100.0, 120566.0)
14340-YK-8	(5.0, 15472.0)	(10.0, 26801.0)	(15.0, 36584.0)	(20.0, 44973.0)	(25.0, 52509.0)	(30.0, 59111.0)	(35.0, 65410.0)	(40.0, 71111.0)	(45.0, 76500.0)	(50.0, 81522.0)	(55.0, 86180.0)	(60.0, 90558.0)	(65.0, 94801.0)	(70.0, 98693.0)	(75.0, 102444.0)	(80.0, 105879.0)	(85.0, 109162.0)	(90.0, 112312.0)	(95.0, 115137.0)	(100.0, 117774.0)
14340-YK-9	(5.0, 15810.0)	(10.0, 27229.0)	(15.0, 36864.0)	(20.0, 45416.0)	(25.0, 52831.0)	(30.0, 59814.0)	(35.0, 66023.0)	(40.0, 71840.0)	(45.0, 77171.0)	(50.0, 82142.0)	(55.0, 86823.0)	(60.0, 91311.0)	(65.0, 95420.0)	(70.0, 99254.0)	(75.0, 102980.0)	(80.0, 106519.0)	(85.0, 109913.0)	(90.0, 113064.0)	(95.0, 115982.0)	(100.0, 118867.0)
