Sample	total_splicing_events	known_splicing_events	partial_novel_splicing_events	novel_splicing_events	total_splicing_junctions	known_splicing_junctions	partial_novel_splicing_junctions	novel_splicing_junctions	known_splicing_events_pct	partial_novel_splicing_events_pct	novel_splicing_events_pct	known_splicing_junctions_pct	partial_novel_splicing_junctions_pct	novel_splicing_junctions_pct
14340-YK-1	55004345	54683051	258165	56549	304758	217536	68137	19085	99.41587523676539	0.46935383013832815	0.1028082417852626	71.37991455515524	22.357739583538415	6.262345861306348
14340-YK-2	61434246	61072869	291389	62742	319886	223489	75335	21062	99.41176619958841	0.47431037079872357	0.10212870521760778	69.86520197820474	23.550577393196328	6.584220628598938
14340-YK-3	63176697	62789862	311584	67491	325446	225447	77785	22214	99.38769353516534	0.49319450809528714	0.10682894675547853	69.27324348739883	23.90104656379246	6.825709948808711
14340-YK-4	62529226	62152951	301333	67349	329848	228105	78747	22996	99.39824139195326	0.481907452364755	0.10770803399997306	69.15458029152822	23.873723654531783	6.971696053939996
14340-YK-5	63185219	62819025	295267	63657	323725	226159	76377	21189	99.42044356924679	0.46730391169491714	0.10074666355117008	69.8614564831261	23.593173218009113	6.5453702988647775
14340-YK-6	53340947	53027357	252115	54634	309937	220349	70294	19294	99.41210267601735	0.47264815152231926	0.10242412831553216	71.09477087279028	22.680093051168463	6.2251360760412595
14340-YK-7	60831680	60478707	285641	60526	321027	224822	75425	20780	99.41975464100284	0.4695596110447714	0.09949749867174472	70.03211567874354	23.49490852794313	6.472975793313335
14340-YK-8	57001297	56659998	274304	60061	316695	222518	73552	20625	99.40124344889907	0.48122413775953204	0.10536777785951082	70.2625554555645	23.22486935379466	6.512575190640837
14340-YK-9	57737796	57394147	276674	60223	317801	222795	73996	21010	99.4048110184185	0.47919044225380547	0.10430429315313665	70.10519161361984	23.283753040424667	6.611055345955489
