Sample	Reads passing filters
14340-YK-1_1	79849775.0
14340-YK-1_2	79849775.0
14340-YK-2_1	85515200.0
14340-YK-2_2	85515200.0
14340-YK-3_1	87975226.0
14340-YK-3_2	87975226.0
14340-YK-4_1	86288460.0
14340-YK-4_2	86288460.0
14340-YK-5_1	87097628.0
14340-YK-5_2	87097628.0
14340-YK-6_1	73636606.0
14340-YK-6_2	73636606.0
14340-YK-7_1	84053603.0
14340-YK-7_2	84053603.0
14340-YK-8_1	77305963.0
14340-YK-8_2	77305963.0
14340-YK-9_1	79967133.0
14340-YK-9_2	79967133.0
