Sample	-247.5	-242.5	-237.5	-232.5	-227.5	-222.5	-217.5	-212.5	-207.5	-202.5	-197.5	-192.5	-187.5	-182.5	-177.5	-172.5	-167.5	-162.5	-157.5	-152.5	-147.5	-142.5	-137.5	-132.5	-127.5	-122.5	-117.5	-112.5	-107.5	-102.5	-97.5	-92.5	-87.5	-82.5	-77.5	-72.5	-67.5	-62.5	-57.5	-52.5	-47.5	-42.5	-37.5	-32.5	-27.5	-22.5	-17.5	-12.5	-7.5	-2.5	2.5	7.5	12.5	17.5	22.5	27.5	32.5	37.5	42.5	47.5	52.5	57.5	62.5	67.5	72.5	77.5	82.5	87.5	92.5	97.5	102.5	107.5	112.5	117.5	122.5	127.5	132.5	137.5	142.5	147.5	152.5	157.5	162.5	167.5	172.5	177.5	182.5	187.5	192.5	197.5	202.5	207.5	212.5	217.5	222.5	227.5	232.5	237.5	242.5	247.5
14340-YK-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8495.0	44898.0	46658.0	45649.0	45049.0	43694.0	41925.0	40289.0	38259.0	35804.0	33276.0	30677.0	28482.0	26318.0	24246.0	22515.0	20871.0	19368.0	18242.0	17159.0	16288.0	15876.0	15051.0	14422.0	13842.0	13199.0	12682.0	12344.0	11797.0	11419.0	11263.0	10299.0	9655.0	9201.0	8836.0	8372.0	7764.0	7320.0	7019.0	6596.0	6337.0	6054.0	5558.0	5416.0	4933.0	4690.0	4461.0	4313.0	4059.0	3849.0	3669.0	3369.0	3278.0	3150.0	2988.0	2802.0	2636.0	2464.0	2465.0	2290.0	2231.0	2067.0	1921.0	1889.0	1841.0	1777.0	1627.0	1593.0	1470.0	1456.0	1343.0	1317.0	1247.0	1142.0	1106.0	1048.0	1026.0	960.0	885.0	917.0	859.0
14340-YK-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7574.0	40155.0	41193.0	40719.0	39853.0	38610.0	37577.0	36464.0	34669.0	33257.0	31626.0	29707.0	28100.0	26653.0	25578.0	24260.0	23158.0	22065.0	21343.0	20509.0	19760.0	18705.0	18044.0	17419.0	16718.0	16130.0	15383.0	14520.0	14144.0	13213.0	13000.0	11624.0	11286.0	10636.0	9836.0	9349.0	8566.0	8020.0	7433.0	7126.0	6617.0	6201.0	5724.0	5393.0	5045.0	4709.0	4532.0	4081.0	3919.0	3642.0	3305.0	3218.0	2909.0	2892.0	2777.0	2637.0	2393.0	2178.0	2179.0	2037.0	1948.0	1818.0	1658.0	1687.0	1550.0	1517.0	1500.0	1412.0	1336.0	1253.0	1181.0	1157.0	1110.0	1046.0	936.0	943.0	913.0	888.0	795.0	759.0	763.0
14340-YK-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8743.0	46220.0	48018.0	47141.0	45879.0	44472.0	42356.0	40358.0	38313.0	35691.0	33367.0	31150.0	29337.0	27342.0	25465.0	23585.0	22185.0	21102.0	19703.0	18827.0	17786.0	17074.0	16067.0	15610.0	14821.0	14367.0	13445.0	12695.0	12034.0	11696.0	11329.0	10156.0	9619.0	9012.0	8422.0	7852.0	7378.0	7015.0	6563.0	6130.0	5618.0	5468.0	4867.0	4760.0	4225.0	4165.0	3929.0	3710.0	3315.0	3205.0	3056.0	2946.0	2624.0	2491.0	2386.0	2319.0	2153.0	1979.0	1893.0	1792.0	1759.0	1630.0	1619.0	1500.0	1385.0	1372.0	1382.0	1261.0	1142.0	1126.0	1069.0	1064.0	936.0	932.0	883.0	909.0	822.0	780.0	735.0	734.0	671.0
14340-YK-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7065.0	38205.0	39472.0	38983.0	38128.0	37348.0	36204.0	34603.0	33277.0	31596.0	30113.0	28607.0	26871.0	25632.0	24326.0	22997.0	21766.0	21000.0	20046.0	19151.0	18506.0	18211.0	17462.0	16821.0	16106.0	15585.0	15186.0	14551.0	13991.0	13530.0	13362.0	12299.0	11421.0	10989.0	10321.0	9862.0	9189.0	8757.0	8093.0	7969.0	7363.0	7068.0	6442.0	6113.0	5700.0	5508.0	5253.0	4764.0	4500.0	4262.0	4032.0	3830.0	3645.0	3378.0	3245.0	2932.0	2918.0	2694.0	2662.0	2506.0	2416.0	2245.0	2140.0	2031.0	1928.0	1858.0	1773.0	1673.0	1631.0	1477.0	1596.0	1534.0	1330.0	1293.0	1228.0	1182.0	1159.0	1057.0	1072.0	984.0	930.0
14340-YK-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6636.0	36793.0	38148.0	37830.0	37358.0	36203.0	35200.0	34623.0	33632.0	32952.0	31254.0	30092.0	28648.0	27516.0	26438.0	24965.0	24128.0	23110.0	21810.0	20865.0	20103.0	19914.0	18657.0	17936.0	17222.0	16601.0	15668.0	14999.0	14454.0	13842.0	13550.0	12153.0	11548.0	10974.0	10271.0	9434.0	8830.0	8294.0	7816.0	7206.0	6777.0	6377.0	5893.0	5528.0	5179.0	4879.0	4609.0	4263.0	4093.0	3718.0	3538.0	3377.0	3178.0	2893.0	2778.0	2596.0	2501.0	2390.0	2317.0	2160.0	2075.0	1974.0	1841.0	1696.0	1619.0	1639.0	1529.0	1540.0	1363.0	1307.0	1233.0	1211.0	1089.0	1080.0	987.0	999.0	979.0	901.0	856.0	835.0	818.0
14340-YK-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7357.0	39856.0	41144.0	40632.0	40341.0	38902.0	38005.0	36024.0	34872.0	32716.0	30736.0	28681.0	26796.0	25584.0	23518.0	21897.0	20631.0	19580.0	18536.0	17722.0	16780.0	16192.0	15716.0	15233.0	14499.0	14337.0	13681.0	13352.0	12856.0	12370.0	12503.0	11310.0	11254.0	10476.0	10010.0	9444.0	8809.0	8563.0	7938.0	7781.0	7362.0	6899.0	6577.0	6224.0	5900.0	5676.0	5315.0	5021.0	4805.0	4485.0	4383.0	4195.0	3825.0	3599.0	3417.0	3212.0	3163.0	3009.0	2817.0	2775.0	2560.0	2490.0	2427.0	2290.0	2165.0	2111.0	1923.0	1900.0	1800.0	1771.0	1584.0	1624.0	1475.0	1452.0	1325.0	1300.0	1273.0	1219.0	1099.0	1154.0	1035.0
14340-YK-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6606.0	35432.0	37029.0	36670.0	36226.0	35456.0	34471.0	33601.0	33025.0	31368.0	30055.0	28544.0	27428.0	26328.0	25125.0	24154.0	22905.0	22093.0	21190.0	20396.0	19757.0	19061.0	18564.0	17613.0	17339.0	16481.0	15934.0	15292.0	14619.0	14266.0	13935.0	12575.0	12096.0	11356.0	10765.0	10020.0	9395.0	8908.0	8357.0	7866.0	7280.0	6963.0	6452.0	6031.0	5732.0	5362.0	5199.0	4807.0	4496.0	4227.0	3997.0	3772.0	3436.0	3326.0	3213.0	2904.0	2828.0	2582.0	2484.0	2449.0	2300.0	2188.0	1966.0	1969.0	1739.0	1728.0	1782.0	1657.0	1577.0	1483.0	1383.0	1413.0	1239.0	1178.0	1128.0	1092.0	1070.0	1012.0	1020.0	933.0	914.0
14340-YK-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7276.0	39116.0	40249.0	40016.0	39032.0	38381.0	36722.0	36466.0	35160.0	33577.0	31934.0	30377.0	29191.0	28013.0	26358.0	25346.0	23994.0	22531.0	21797.0	20464.0	19725.0	18971.0	18099.0	17051.0	16494.0	15651.0	15025.0	14596.0	13510.0	13052.0	12678.0	11385.0	10858.0	10088.0	9602.0	9002.0	8278.0	7790.0	7264.0	7057.0	6371.0	6012.0	5619.0	5385.0	5028.0	4689.0	4458.0	4080.0	4025.0	3828.0	3546.0	3231.0	3107.0	2932.0	2754.0	2635.0	2416.0	2392.0	2181.0	2174.0	1918.0	1919.0	1791.0	1814.0	1665.0	1673.0	1480.0	1415.0	1370.0	1245.0	1231.0	1201.0	1108.0	1040.0	994.0	975.0	932.0	899.0	897.0	816.0	781.0
14340-YK-9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6761.0	37186.0	38280.0	37758.0	37384.0	36249.0	35221.0	34099.0	33340.0	31902.0	30454.0	28918.0	27935.0	26583.0	25436.0	24351.0	23223.0	22608.0	21631.0	20895.0	20123.0	19580.0	18531.0	18191.0	17630.0	16545.0	16001.0	15382.0	14560.0	14072.0	13532.0	12347.0	11723.0	11081.0	10456.0	9760.0	9127.0	8516.0	8078.0	7745.0	7041.0	6713.0	6177.0	5845.0	5416.0	5123.0	4868.0	4491.0	4223.0	4098.0	3736.0	3490.0	3195.0	3147.0	2908.0	2755.0	2588.0	2377.0	2518.0	2256.0	2107.0	1988.0	1891.0	1864.0	1703.0	1687.0	1571.0	1465.0	1393.0	1397.0	1235.0	1242.0	1220.0	1143.0	1032.0	1021.0	933.0	939.0	912.0	846.0	840.0
