Sample	Sense	Antisense	Undetermined
14340-YK-1	2.22	71.23	26.540000000000003
14340-YK-2	2.1999999999999997	70.50999999999999	27.29
14340-YK-3	2.33	68.8	28.87
14340-YK-4	2.5	68.57	28.93
14340-YK-5	2.3800000000000003	68.73	28.89
14340-YK-6	2.19	70.85000000000001	26.97
14340-YK-7	2.3	70.22	27.48
14340-YK-8	2.23	71.43	26.340000000000003
14340-YK-9	2.22	70.83	26.950000000000003
