Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
14340-YK-2_2 - polya	(1, 0.004785114225307314)	(2, 0.010254317361124103)	(3, 0.012538121877748049)	(4, 0.015455731846502143)	(5, 0.01753372499859674)	(6, 0.019259733942036037)	(7, 0.020734325593578684)	(8, 0.02417932718393923)	(9, 0.02848733324601942)	(10, 0.03942340075214699)	(15, 0.05443733979456285)	(20, 0.07125516867176829)	(25, 0.08532307706700096)	(30, 0.09781231874567328)	(35, 0.10989648623870377)	(40, 0.12241543023930249)	(45, 0.1360020206933972)	(50, 0.15103443598331054)	(55, 0.16657389563492805)	(60, 0.18203243400003744)	(65, 0.19901116994405674)	(70, 0.21782677231650047)	(75, 0.23494793907983613)	(80, 0.25070326678765886)	(85, 0.2688226186689618)	(90, 0.28885157258592625)	(95, 0.3076220367841039)	(100, 0.32687148015791345)	(105, 0.34248624805882466)	(110, 0.3593849982225382)	(115, 0.3798564465732408)	(120, 0.40796232716522907)	(125, 0.43107283851291933)	(130, 0.4453856156566318)	(135, 0.4598815181394652)	(140, 0.4681588770183546)
14340-YK-2_2 - polyg	(1, 0.4835280745411342)	(2, 0.48674387711190525)	(3, 0.48831435814919455)	(4, 0.4908636125507512)	(5, 0.49267147828690105)	(6, 0.4950020581136453)	(7, 0.4974916739947986)	(8, 0.5000292345688252)	(9, 0.5034695586281737)	(10, 0.5158687578348644)	(15, 0.5281715999027072)	(20, 0.5312325761969803)	(25, 0.5328070331356297)	(30, 0.5339069545531087)	(35, 0.5348183714708028)	(40, 0.5356694482384418)	(45, 0.5364246356203342)	(50, 0.5371300072969484)	(55, 0.5378126929481543)	(60, 0.5384876606731902)	(65, 0.5391857821767359)	(70, 0.5398074260482348)	(75, 0.5453961401014088)	(80, 0.5557393305517616)	(85, 0.5706281456396056)	(90, 0.5811967930847382)	(95, 0.5865130409564616)	(100, 0.589693995921193)	(105, 0.592594065148652)	(110, 0.5961705053604506)	(115, 0.6014947050348944)	(120, 0.6096719647501263)	(125, 0.6231636013246767)	(130, 0.646912127902408)	(135, 0.6868259677811664)	(140, 0.7219582015828765)
14340-YK-3_1 - illumina_universal_adapter	(1, 0.00715542350524908)	(2, 0.0073225160001294)	(3, 0.007791966342888395)	(4, 0.008462609689686958)	(5, 0.009129842985569597)	(6, 0.009672041081201656)	(7, 0.010182412034951748)	(8, 0.010617761868551494)	(9, 0.010954220225589418)	(10, 0.012264361787487764)	(15, 0.01382184570915453)	(20, 0.015054692783625246)	(25, 0.016004505632074194)	(30, 0.017568127645389623)	(35, 0.019824444668093265)	(40, 0.02385739821799378)	(45, 0.030324673448409216)	(50, 0.04176789497534226)	(55, 0.061310896774507864)	(60, 0.09515678879870113)	(65, 0.15508206821770482)	(70, 0.2406068271992845)	(75, 0.37102081442791635)	(80, 0.5586347683835446)	(85, 0.8273854278021406)	(90, 1.1908586628694764)	(95, 1.6783993257374525)	(100, 2.307616691999177)	(105, 3.100058191382197)	(110, 4.070908553278397)	(115, 5.23028312538805)	(120, 6.597108372304722)	(125, 8.167907178777806)	(130, 9.952528226525956)	(135, 11.923295769652244)	(140, 13.195636462474106)
14340-YK-3_1 - polya	(1, 0.0005524282483798336)	(2, 0.0014151711301088332)	(3, 0.002657566347144138)	(4, 0.007209984319903879)	(5, 0.010383605038991318)	(6, 0.01471436970221594)	(7, 0.02141625643564701)	(8, 0.02784874914672001)	(9, 0.0368365066774594)	(10, 0.06052272033947374)	(15, 0.08586962879754353)	(20, 0.10885587267488235)	(25, 0.1433451276385468)	(30, 0.17760409049702242)	(35, 0.20019181309065348)	(40, 0.21943132035830176)	(45, 0.23971884994077763)	(50, 0.260877079190453)	(55, 0.2805692138830084)	(60, 0.2999294369530804)	(65, 0.3198318581187845)	(70, 0.3440104831330584)	(75, 0.36559428673704114)	(80, 0.38539099632435164)	(85, 0.40268609255973953)	(90, 0.42202721934468235)	(95, 0.44123285343989915)	(100, 0.4595232298692816)	(105, 0.47896142943696446)	(110, 0.4988884029692631)	(115, 0.5135154753680314)	(120, 0.5275264652346559)	(125, 0.5398808523663241)	(130, 0.5546386433835362)	(135, 0.5696783319431313)	(140, 0.5774955326627976)
14340-YK-3_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.005684554876846807)	(4, 0.0065029670966687825)	(5, 0.00699515111220061)	(6, 0.007094042588762432)	(7, 0.007257725032726827)	(8, 0.007500975331396136)	(9, 0.007631693949839924)	(10, 0.00798952195928431)	(15, 0.008345076601451413)	(20, 0.00871768149819814)	(25, 0.009064597344711567)	(30, 0.009425608068344148)	(35, 0.009969852194525763)	(40, 0.01058184266557042)	(45, 0.011432764037457544)	(50, 0.012115910904281168)	(55, 0.012811333954402118)	(60, 0.013491980117220729)	(65, 0.015252930410204346)	(70, 0.12850572273608024)	(75, 0.18933784836199224)	(80, 0.19592834009883647)	(85, 0.19969235429983437)	(90, 0.2031942492537615)	(95, 0.20656747161979444)	(100, 0.2086878412793165)	(105, 0.21146180403105755)	(110, 0.21555409246689514)	(115, 0.22192520426148152)	(120, 0.23225106577162985)	(125, 0.25033524778896277)	(130, 0.280310959360309)	(135, 0.32842950582474206)	(140, 0.368501468811231)
14340-YK-3_2 - illumina_universal_adapter	(1, 0.00715542350524908)	(2, 0.007324789367406683)	(3, 0.007791966342888395)	(4, 0.008462609689686958)	(5, 0.00913211635284688)	(6, 0.00967545113211758)	(7, 0.01019036882042224)	(8, 0.01062230860310606)	(9, 0.010958766960143983)	(10, 0.012262543093665939)	(15, 0.01381775364805542)	(20, 0.015042189263600186)	(25, 0.016033604733223416)	(30, 0.017687479427446993)	(35, 0.020118391057045992)	(40, 0.024348445549886966)	(45, 0.031023279212718358)	(50, 0.04263245655089309)	(55, 0.06225684489858543)	(60, 0.09614911361523527)	(65, 0.1519759665067527)	(70, 0.23758688610814144)	(75, 0.3677471655486284)	(80, 0.5548214221126299)	(85, 0.8230623925876588)	(90, 1.1860034323753825)	(95, 1.6729057337118973)	(100, 2.3006749650179925)	(105, 3.0895572805916975)	(110, 4.057048060325529)	(115, 5.212968250857349)	(120, 6.573664726931193)	(125, 8.135723572906764)	(130, 9.910288380503847)	(135, 11.866035104018943)	(140, 13.126796627950691)
14340-YK-3_2 - polya	(1, 0.004951393929922954)	(2, 0.010384741722629959)	(3, 0.012712669814568024)	(4, 0.015550968860256182)	(5, 0.01758108583887014)	(6, 0.019298614816857646)	(7, 0.02080585732169645)	(8, 0.02413065696472323)	(9, 0.02841254423148626)	(10, 0.03913078893369368)	(15, 0.0541316029128473)	(20, 0.07071058845589098)	(25, 0.08481615040125046)	(30, 0.09710415520842197)	(35, 0.10908548276988797)	(40, 0.12121935327565966)	(45, 0.1345026382768258)	(50, 0.14931112538432126)	(55, 0.1644606175834092)	(60, 0.17969922577976666)	(65, 0.196725382666252)	(70, 0.21571732023740414)	(75, 0.23304401627794627)	(80, 0.24897213676950375)	(85, 0.26704904401154933)	(90, 0.2870067080020914)	(95, 0.30552896789375683)	(100, 0.3252349701267036)	(105, 0.3410596524071447)	(110, 0.3580342038564357)	(115, 0.3793668003762786)	(120, 0.4087762161588536)	(125, 0.43231966235585456)	(130, 0.4462790467852848)	(135, 0.46035528229276734)	(140, 0.4684659747279308)
14340-YK-3_2 - polyg	(1, 0.44209150426052896)	(2, 0.44611309097404306)	(3, 0.44764079378437743)	(4, 0.4499141610616607)	(5, 0.45159190611229577)	(6, 0.453776612065765)	(7, 0.4560045119975026)	(8, 0.4584108712605069)	(9, 0.4614299030047391)	(10, 0.47264556046721606)	(15, 0.48401012348635514)	(20, 0.4868909345001285)	(25, 0.4884668326967412)	(30, 0.4896485290074731)	(35, 0.4905405983270791)	(40, 0.4914183454328381)	(45, 0.4921217252684295)	(50, 0.4927923686152281)	(55, 0.49346005658456626)	(60, 0.49412615319681025)	(65, 0.49478542970722234)	(70, 0.49539628349462833)	(75, 0.5012058735717257)	(80, 0.5114444377784265)	(85, 0.5242068943363669)	(90, 0.5339876023734227)	(95, 0.5410680047585215)	(100, 0.5446933435556051)	(105, 0.5478596894994052)	(110, 0.5515107173467221)	(115, 0.5568942783960567)	(120, 0.5649501826798377)	(125, 0.5777083198399513)	(130, 0.5987694763068866)	(135, 0.6332871483615172)	(140, 0.6637402670610929)
14340-YK-4_1 - illumina_universal_adapter	(1, 0.007172453883172791)	(2, 0.007320793533689209)	(3, 0.00770902621277515)	(4, 0.008238645121259552)	(5, 0.008787965389578167)	(6, 0.00919242271793934)	(7, 0.009687274520833957)	(8, 0.010074348296400236)	(9, 0.010439402905092987)	(10, 0.011652311328768645)	(15, 0.013179746167679895)	(20, 0.014407024994999332)	(25, 0.015376563679546488)	(30, 0.01697816834371595)	(35, 0.019430871752723365)	(40, 0.02417982659558416)	(45, 0.03225738412761104)	(50, 0.04745454954231423)	(55, 0.07404837216934919)	(60, 0.1191584598913922)	(65, 0.19175078567864118)	(70, 0.2997705602811779)	(75, 0.4604780291594032)	(80, 0.6816552294478312)	(85, 0.9879761442028286)	(90, 1.3875375687548486)	(95, 1.90728841376935)	(100, 2.5558921783978996)	(105, 3.3481408753847277)	(110, 4.2886124054131916)	(115, 5.383641103341049)	(120, 6.643248471464203)	(125, 8.051231647893589)	(130, 9.612722257414259)	(135, 11.301948371775321)	(140, 12.378060751113185)
14340-YK-4_1 - polya	(1, 0.000547002461279295)	(2, 0.0013848897059931305)	(3, 0.0025959438840373323)	(4, 0.007264007261225893)	(5, 0.010435926194534009)	(6, 0.014913929394498407)	(7, 0.022117673672702006)	(8, 0.02852756903993883)	(9, 0.03770376710860294)	(10, 0.061929486283565614)	(15, 0.08768333563955136)	(20, 0.11074319787373654)	(25, 0.14524421921540842)	(30, 0.18030058712370112)	(35, 0.2034649824553596)	(40, 0.22348480897677395)	(45, 0.2446885713338725)	(50, 0.2661961981938257)	(55, 0.28643158076989667)	(60, 0.3060323477786021)	(65, 0.3260994575636186)	(70, 0.3503142830454965)	(75, 0.3727198283524819)	(80, 0.39308338565782724)	(85, 0.41098612722952754)	(90, 0.43066569967756985)	(95, 0.4505844698120699)	(100, 0.4692951989176768)	(105, 0.4898821928216125)	(110, 0.510766097807285)	(115, 0.5260814713809936)	(120, 0.5409112643799645)	(125, 0.5537739345446656)	(130, 0.5695945900529457)	(135, 0.5858660590303733)	(140, 0.5943935029087319)
