Sample	5.0	10.0	15.0	20.0	25.0	30.0	35.0	40.0	45.0	50.0	55.0	60.0	65.0	70.0	75.0	80.0	85.0	90.0	95.0	100.0
14340-YK-1	144583.0	171056.0	189165.0	203382.0	215312.0	225840.0	235140.0	243459.0	251046.0	257791.0	264339.0	270017.0	275473.0	280701.0	285511.0	289977.0	294034.0	297831.0	301326.0	304727.0
14340-YK-2	149477.0	176620.0	195370.0	210433.0	223296.0	234533.0	244392.0	253513.0	261476.0	268950.0	275807.0	281926.0	287818.0	293418.0	298589.0	303340.0	307816.0	312118.0	316138.0	319847.0
14340-YK-3	152127.0	179933.0	199457.0	214970.0	228052.0	239456.0	249473.0	258493.0	266745.0	274337.0	281321.0	287820.0	293652.0	299274.0	304418.0	309185.0	313611.0	317760.0	321711.0	325405.0
14340-YK-4	152335.0	180113.0	199623.0	215303.0	228656.0	240303.0	250642.0	259732.0	268077.0	275805.0	283193.0	289809.0	295948.0	301706.0	307223.0	312232.0	317124.0	321720.0	325874.0	329808.0
14340-YK-5	151247.0	178356.0	197428.0	212552.0	225324.0	236615.0	246586.0	255724.0	263963.0	271607.0	278535.0	285061.0	290975.0	296611.0	301858.0	306781.0	311538.0	315735.0	319847.0	323681.0
14340-YK-6	145530.0	171967.0	190055.0	204597.0	216860.0	227679.0	237274.0	245938.0	253725.0	260709.0	267372.0	273531.0	279198.0	284477.0	289371.0	294022.0	298338.0	302483.0	306265.0	309905.0
14340-YK-7	149419.0	176289.0	195274.0	210493.0	223413.0	234776.0	244682.0	253687.0	261726.0	269097.0	276001.0	282419.0	288481.0	293924.0	299126.0	303993.0	308630.0	312988.0	317103.0	320988.0
14340-YK-8	148179.0	174861.0	193858.0	208701.0	221427.0	232257.0	241984.0	250591.0	258634.0	266010.0	272738.0	279023.0	285056.0	290493.0	295714.0	300474.0	304973.0	309195.0	313070.0	316667.0
14340-YK-9	148141.0	175088.0	193664.0	208705.0	221298.0	232482.0	242246.0	251059.0	259104.0	266414.0	273293.0	279716.0	285563.0	291003.0	296173.0	301053.0	305648.0	309881.0	313865.0	317770.0
