Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
14340-YK-1	('1', 0.08639410331406862)	('10', 0.021600270024695938)	('11', 0.04610742125552917)	('12', 0.05614458125875371)	('13', 0.007355834199621451)	('14', 0.024631697438085624)	('15', 0.02081747285236944)	('16', 0.02876122643799953)	('17', 0.05408920506336681)	('18', 0.011796523943253088)	('19', 0.05574411477974939)	('2', 0.04184941919784986)	('20', 0.019783713795600667)	('21', 0.11073175433116314)	('22', 0.016267346844072876)	('3', 0.04303469204754133)	('4', 0.022644720714947362)	('5', 0.039494161715249464)	('6', 0.03865362297660656)	('7', 0.03716300497653379)	('8', 0.028280290841918243)	('9', 0.03269106906655019)	('MT', 0.017610912724321155)	('X', 0.02293869004439466)	('Y', 0.0017689522007903608)	('KI270733.1', 0.05776987818586888)	('GL000220.1', 0.054978793296761135)
14340-YK-2	('1', 0.0883011456686458)	('10', 0.022377648734369083)	('11', 0.04667587436611926)	('12', 0.05668073231391071)	('13', 0.007555523337540012)	('14', 0.025015338214727904)	('15', 0.021159014318088146)	('16', 0.029036373900637256)	('17', 0.05450209477285356)	('18', 0.012219313911759046)	('19', 0.054909158412371366)	('2', 0.04291579821485564)	('20', 0.02004976624279083)	('21', 0.10512379800624505)	('22', 0.016308809076379237)	('3', 0.04393734000147647)	('4', 0.023347905259330975)	('5', 0.04031458454370591)	('6', 0.03938007796391504)	('7', 0.03763190062335149)	('8', 0.02890205709731436)	('9', 0.03303089500583492)	('MT', 0.018801736615559037)	('X', 0.02317381658494054)	('Y', 0.0017344087497532005)	('KI270733.1', 0.054355045675177203)	('GL000220.1', 0.05167437043517973)
14340-YK-3	('1', 0.08805041107942267)	('10', 0.022271362751585793)	('11', 0.0464288455541238)	('12', 0.056271666425232854)	('13', 0.007514353043924291)	('14', 0.025011993793231047)	('15', 0.02118967275223669)	('16', 0.029046012995372274)	('17', 0.0544032482332836)	('18', 0.012124656287984457)	('19', 0.055126141111439805)	('2', 0.04275025442393146)	('20', 0.020044094452085937)	('21', 0.10698637092413538)	('22', 0.01638058677172001)	('3', 0.04392792921026143)	('4', 0.023192919146893677)	('5', 0.04025846939571342)	('6', 0.03914033361332355)	('7', 0.03756472686510644)	('8', 0.02891745042946304)	('9', 0.033023875489406836)	('MT', 0.016456105578037693)	('X', 0.02319766142590819)	('Y', 0.0017578709876593934)	('KI270733.1', 0.055489543630223154)	('GL000220.1', 0.052550951140665804)
14340-YK-4	('1', 0.09442926708022518)	('10', 0.024655125306410054)	('11', 0.0510307814119375)	('12', 0.05953569626404098)	('13', 0.008042045904671998)	('14', 0.027279962969715552)	('15', 0.022661491787766923)	('16', 0.031211430540225647)	('17', 0.059276165089383326)	('18', 0.013200275441348922)	('19', 0.058447512982215545)	('2', 0.045701487956796044)	('20', 0.02131802414390803)	('21', 0.07825068368999265)	('22', 0.017635360222501468)	('3', 0.04749970083751229)	('4', 0.02520775380935129)	('5', 0.04298682348076728)	('6', 0.0421166304360865)	('7', 0.04045421467352452)	('8', 0.03108695185028702)	('9', 0.0355520141323163)	('MT', 0.018633702279343602)	('X', 0.025054657175066074)	('Y', 0.0019595052868757717)	('KI270733.1', 0.038709913253519614)	('GL000220.1', 0.03700752748978866)
14340-YK-5	('1', 0.09299099811687922)	('10', 0.02424719999876712)	('11', 0.05065928691077636)	('12', 0.059589308755746466)	('13', 0.007970093191981588)	('14', 0.02655834025487462)	('15', 0.022493903632549318)	('16', 0.030816120846234574)	('17', 0.059017924896983244)	('18', 0.012942292120110901)	('19', 0.05865589450055902)	('2', 0.04502253613061518)	('20', 0.021100752529602446)	('21', 0.08208970667200888)	('22', 0.01748091513581562)	('3', 0.04704224422688929)	('4', 0.024695032230663497)	('5', 0.04252584221822902)	('6', 0.04223402831893209)	('7', 0.03986939740959989)	('8', 0.030441662709497264)	('9', 0.03536515922261124)	('MT', 0.017855623052695745)	('X', 0.024870778481712156)	('Y', 0.0019433602035657264)	('KI270733.1', 0.04123628860772138)	('GL000220.1', 0.03933954303420372)
14340-YK-6	('1', 0.09643196305217934)	('10', 0.025212305624831104)	('11', 0.052228951550622384)	('12', 0.06096744669950092)	('13', 0.008229532984516804)	('14', 0.02759198719166933)	('15', 0.023191841286761303)	('16', 0.032022769161579034)	('17', 0.06065629033808601)	('18', 0.013470536561368178)	('19', 0.06018028716143445)	('2', 0.04660556492275579)	('20', 0.02197224345996098)	('21', 0.06708750071719519)	('22', 0.01803201895910721)	('3', 0.0485818706730593)	('4', 0.025716281863280056)	('5', 0.0441142331999284)	('6', 0.043027578026599116)	('7', 0.041596219568372374)	('8', 0.03150166208866443)	('9', 0.03629856665062985)	('MT', 0.023354042391022272)	('X', 0.025591754761060653)	('Y', 0.0020151613879660314)	('KI270733.1', 0.032397733846525174)	('GL000220.1', 0.030894428189173154)
14340-YK-7	('1', 0.09362253793547151)	('10', 0.024204616715025863)	('11', 0.049991955931210384)	('12', 0.05960585357198424)	('13', 0.008067988226244396)	('14', 0.026561105291918706)	('15', 0.02256927047277279)	('16', 0.030822912551402522)	('17', 0.05814537561938055)	('18', 0.013105473547583766)	('19', 0.05760082726442792)	('2', 0.04569438472619986)	('20', 0.02116566675348718)	('21', 0.08093752974609178)	('22', 0.01731080858108784)	('3', 0.04691978153391646)	('4', 0.02490303582999239)	('5', 0.04288179921384622)	('6', 0.04203728965162123)	('7', 0.03989023219041797)	('8', 0.030541257385610185)	('9', 0.03514971263142747)	('MT', 0.021521658959172803)	('X', 0.02459071534833034)	('Y', 0.0018851055575180922)	('KI270733.1', 0.040544626599307756)	('GL000220.1', 0.03874888923411405)
14340-YK-8	('1', 0.09247481614890636)	('10', 0.023928904300971377)	('11', 0.04896153841905758)	('12', 0.05842494615679514)	('13', 0.007917761023110568)	('14', 0.026464758965631916)	('15', 0.0221383629803845)	('16', 0.030136079499388763)	('17', 0.05692456828529122)	('18', 0.0130150159282477)	('19', 0.05570179934578711)	('2', 0.04508596372906921)	('20', 0.02073267783010609)	('21', 0.08765117818646609)	('22', 0.0169826640895632)	('3', 0.0462832449476747)	('4', 0.02468473146140417)	('5', 0.042428576921031774)	('6', 0.041006813363244674)	('7', 0.03927765085051725)	('8', 0.03037301642443251)	('9', 0.03434949534996361)	('MT', 0.021212600148834405)	('X', 0.02426368967000975)	('Y', 0.0018478808033018537)	('KI270733.1', 0.044416734860959116)	('GL000220.1', 0.042331243911756106)
14340-YK-9	('1', 0.09125503374605001)	('10', 0.023479708370559817)	('11', 0.04829659845958116)	('12', 0.05749889468696803)	('13', 0.007821905337233547)	('14', 0.025859954545082484)	('15', 0.0218623058067244)	('16', 0.02970460635775521)	('17', 0.05605279374057709)	('18', 0.01282240375505426)	('19', 0.05513133303263817)	('2', 0.044439085391760724)	('20', 0.020380130731250116)	('21', 0.09028267842066554)	('22', 0.016748919198843887)	('3', 0.045444429558872734)	('4', 0.024279025026371505)	('5', 0.041643279792959946)	('6', 0.04047474866761916)	('7', 0.038665512934148216)	('8', 0.030043215382663066)	('9', 0.03395614243320475)	('MT', 0.027575535901158583)	('X', 0.02388025037324024)	('Y', 0.0018104678285852116)	('KI270733.1', 0.04588460058801537)	('GL000220.1', 0.043751076410554875)
