Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
14340-YK-1	(5.0, 144583.0)	(10.0, 171056.0)	(15.0, 189165.0)	(20.0, 203382.0)	(25.0, 215312.0)	(30.0, 225840.0)	(35.0, 235140.0)	(40.0, 243459.0)	(45.0, 251046.0)	(50.0, 257791.0)	(55.0, 264339.0)	(60.0, 270017.0)	(65.0, 275473.0)	(70.0, 280701.0)	(75.0, 285511.0)	(80.0, 289977.0)	(85.0, 294034.0)	(90.0, 297831.0)	(95.0, 301326.0)	(100.0, 304727.0)
14340-YK-2	(5.0, 149477.0)	(10.0, 176620.0)	(15.0, 195370.0)	(20.0, 210433.0)	(25.0, 223296.0)	(30.0, 234533.0)	(35.0, 244392.0)	(40.0, 253513.0)	(45.0, 261476.0)	(50.0, 268950.0)	(55.0, 275807.0)	(60.0, 281926.0)	(65.0, 287818.0)	(70.0, 293418.0)	(75.0, 298589.0)	(80.0, 303340.0)	(85.0, 307816.0)	(90.0, 312118.0)	(95.0, 316138.0)	(100.0, 319847.0)
14340-YK-3	(5.0, 152127.0)	(10.0, 179933.0)	(15.0, 199457.0)	(20.0, 214970.0)	(25.0, 228052.0)	(30.0, 239456.0)	(35.0, 249473.0)	(40.0, 258493.0)	(45.0, 266745.0)	(50.0, 274337.0)	(55.0, 281321.0)	(60.0, 287820.0)	(65.0, 293652.0)	(70.0, 299274.0)	(75.0, 304418.0)	(80.0, 309185.0)	(85.0, 313611.0)	(90.0, 317760.0)	(95.0, 321711.0)	(100.0, 325405.0)
14340-YK-4	(5.0, 152335.0)	(10.0, 180113.0)	(15.0, 199623.0)	(20.0, 215303.0)	(25.0, 228656.0)	(30.0, 240303.0)	(35.0, 250642.0)	(40.0, 259732.0)	(45.0, 268077.0)	(50.0, 275805.0)	(55.0, 283193.0)	(60.0, 289809.0)	(65.0, 295948.0)	(70.0, 301706.0)	(75.0, 307223.0)	(80.0, 312232.0)	(85.0, 317124.0)	(90.0, 321720.0)	(95.0, 325874.0)	(100.0, 329808.0)
14340-YK-5	(5.0, 151247.0)	(10.0, 178356.0)	(15.0, 197428.0)	(20.0, 212552.0)	(25.0, 225324.0)	(30.0, 236615.0)	(35.0, 246586.0)	(40.0, 255724.0)	(45.0, 263963.0)	(50.0, 271607.0)	(55.0, 278535.0)	(60.0, 285061.0)	(65.0, 290975.0)	(70.0, 296611.0)	(75.0, 301858.0)	(80.0, 306781.0)	(85.0, 311538.0)	(90.0, 315735.0)	(95.0, 319847.0)	(100.0, 323681.0)
14340-YK-6	(5.0, 145530.0)	(10.0, 171967.0)	(15.0, 190055.0)	(20.0, 204597.0)	(25.0, 216860.0)	(30.0, 227679.0)	(35.0, 237274.0)	(40.0, 245938.0)	(45.0, 253725.0)	(50.0, 260709.0)	(55.0, 267372.0)	(60.0, 273531.0)	(65.0, 279198.0)	(70.0, 284477.0)	(75.0, 289371.0)	(80.0, 294022.0)	(85.0, 298338.0)	(90.0, 302483.0)	(95.0, 306265.0)	(100.0, 309905.0)
14340-YK-7	(5.0, 149419.0)	(10.0, 176289.0)	(15.0, 195274.0)	(20.0, 210493.0)	(25.0, 223413.0)	(30.0, 234776.0)	(35.0, 244682.0)	(40.0, 253687.0)	(45.0, 261726.0)	(50.0, 269097.0)	(55.0, 276001.0)	(60.0, 282419.0)	(65.0, 288481.0)	(70.0, 293924.0)	(75.0, 299126.0)	(80.0, 303993.0)	(85.0, 308630.0)	(90.0, 312988.0)	(95.0, 317103.0)	(100.0, 320988.0)
14340-YK-8	(5.0, 148179.0)	(10.0, 174861.0)	(15.0, 193858.0)	(20.0, 208701.0)	(25.0, 221427.0)	(30.0, 232257.0)	(35.0, 241984.0)	(40.0, 250591.0)	(45.0, 258634.0)	(50.0, 266010.0)	(55.0, 272738.0)	(60.0, 279023.0)	(65.0, 285056.0)	(70.0, 290493.0)	(75.0, 295714.0)	(80.0, 300474.0)	(85.0, 304973.0)	(90.0, 309195.0)	(95.0, 313070.0)	(100.0, 316667.0)
14340-YK-9	(5.0, 148141.0)	(10.0, 175088.0)	(15.0, 193664.0)	(20.0, 208705.0)	(25.0, 221298.0)	(30.0, 232482.0)	(35.0, 242246.0)	(40.0, 251059.0)	(45.0, 259104.0)	(50.0, 266414.0)	(55.0, 273293.0)	(60.0, 279716.0)	(65.0, 285563.0)	(70.0, 291003.0)	(75.0, 296173.0)	(80.0, 301053.0)	(85.0, 305648.0)	(90.0, 309881.0)	(95.0, 313865.0)	(100.0, 317770.0)
