Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
14340-YK-1	722435.1320833738	782896.8685724854	845768.7336126044	895678.7014544116	941998.8517952804	983772.7759679391	1021222.3337262344	1047132.8833161457	1069253.6604151384	1093663.5875326549	1107690.0488250977	1118994.8522929836	1125087.9419325998	1132647.9896037064	1137949.8136096606	1147014.6351780454	1152490.7257578252	1160668.4259411097	1166282.6317757354	1165119.3949684086	1168797.4449882337	1171869.9708092401	1169942.1798241308	1169907.7810434012	1172528.695470204	1176214.5743069379	1178477.2961328	1175049.8597831465	1170227.467656705	1163545.7712561458	1158898.9892770837	1153693.9487368378	1150281.2940079833	1147157.2041456567	1143039.6755070523	1143848.963358797	1144337.994934397	1143442.8394500262	1143629.1858243344	1146362.1147162195	1154176.152867466	1153651.2402133467	1153260.6968117363	1152523.6780902462	1148316.0797596506	1144962.4057495412	1145200.3436853134	1145280.0594949138	1148506.054990791	1149001.0467082832	1142549.697674882	1140821.5748652327	1139145.334618645	1136519.1882710156	1133902.4761603356	1129644.0782298564	1120619.2007499656	1110887.7726873974	1105709.3656175667	1101260.0159353344	1095454.3496062402	1091180.0674004445	1092705.6199760444	1092366.5567303644	1088480.9430458844	1079064.8196476607	1071448.2290600173	1066770.0425862346	1065323.8751231425	1061429.605369996	1060677.867615615	1059000.8901574458	1056762.317729704	1054402.3572695325	1046687.6961041327	1044099.2079674071	1041007.5078297989	1033012.2839711369	1026755.7520466613	1020591.3913029184	1015595.4438150751	1008759.7688758353	1001507.7837220492	991526.5940053945	976036.598304479	960757.5600056747	942252.0735485541	927013.1362044076	898588.2568101422	863829.0172374919	821585.4984331398	772204.1436842129	716488.3694825694	655461.9037692804	592948.1490503089	512539.13727105333	413662.2137768086	304024.68661283585	186690.50790680735	59921.88128047573
14340-YK-2	776091.1780433538	837168.4292093717	902973.6722582714	957011.4058947051	1007678.6507087642	1053474.1998481795	1095298.312511563	1124918.3415062285	1150504.441008435	1178090.6764708518	1194967.812030556	1209662.19729012	1218613.3994748113	1228965.6666954185	1236642.2914468003	1248167.1920528389	1255410.7230437817	1265467.2104603832	1272864.5606863075	1272414.890411572	1277085.7005252128	1280490.396189793	1279536.4378156567	1280628.5508056558	1284020.0024928534	1288732.6363409844	1291314.1375422603	1287845.3635486113	1282291.363505929	1275392.4955647062	1270460.8711925303	1264964.0484840132	1261421.483226287	1258100.498038186	1253483.3243676228	1254028.4050787203	1253973.839446018	1252630.9102934767	1252360.1514900005	1254454.2723449764	1262149.1937046943	1260855.6139751226	1260040.813371925	1258326.7416370953	1253085.6917672148	1248364.2038546829	1247698.0279329875	1246497.8048135466	1248940.21621977	1248590.0525274298	1241247.9051759422	1238386.6656332666	1235645.835465166	1231760.931087233	1228077.7167947348	1222578.8523453218	1211751.8063928373	1200417.7960996053	1193661.6450445098	1187774.2124176074	1180505.52919852	1174728.2544569625	1175091.4370853174	1173481.7457053848	1168257.2407373076	1157185.8154058396	1148180.7849029896	1141992.6275881354	1139464.4764626964	1133968.370937092	1132067.4457945402	1129332.9695489046	1126074.0860501193	1122731.1637124133	1113700.3360771947	1109928.3478998786	1105834.2166204373	1096896.1651066388	1089302.3154423751	1081788.3928734087	1075786.9093509868	1068001.0310917203	1059960.3002798427	1048976.6020473375	1032213.6757178351	1015940.6713534882	995893.2722863598	979225.7820570485	949051.6257743192	911969.6010782898	866898.761075282	814305.0515198071	755244.4401064788	690580.7454676974	624549.8944154062	540145.2981670336	436469.6359635051	321449.3096141604	198284.81751119066	63848.48126376396
14340-YK-3	821796.7202711991	890082.3193131133	961965.8854470785	1020039.4746127581	1073612.0247676997	1121510.1985342975	1164531.027432338	1194460.1220571527	1219839.6659754624	1247010.9063756687	1262767.1413005535	1275555.727438964	1282990.530181904	1291337.684196388	1297094.1360519074	1307096.0572311203	1312588.2120502566	1321513.6125248054	1327373.257985727	1325408.1046885834	1328751.9403257044	1330912.1861499832	1328360.8069647653	1327634.542510967	1329568.7694137043	1332803.7451574043	1333920.744776134	1328735.6431341798	1321968.0037978466	1313325.6571020763	1307328.368547876	1300696.7644140653	1295870.9695522874	1291041.087578609	1285148.4752617269	1284881.5651158064	1284121.0604392888	1282163.0380012768	1280886.6048020613	1282656.5588098208	1289849.9707047483	1288433.9176900194	1286929.2005938964	1284850.0859728395	1279067.8329162328	1273724.3533046613	1272809.3859598455	1271292.3498398077	1273500.8778887975	1272996.9021543884	1265166.9500358899	1262139.5286168521	1259031.6027381052	1254839.729541358	1250869.0329658252	1245103.4438449172	1234103.2725225312	1222176.791399624	1215273.500402303	1209386.9959130164	1202336.505364887	1196616.6149143558	1197244.4307594378	1195738.1708384543	1190525.579483039	1179008.0437043272	1169578.3299857154	1163475.9229982796	1160878.0804253665	1155301.0533350424	1153468.6978096587	1150873.731801	1147675.036019354	1144528.6250191685	1135689.677417903	1132253.021253667	1128454.8290824154	1119564.6133685333	1112103.1830038258	1104754.7250064665	1098908.3517137386	1091084.024828005	1082960.9546306732	1071917.1626371022	1055147.527928513	1038612.1215984616	1018470.8518119693	1001749.5170527763	970933.1375518691	932962.5051103373	886630.9664157452	833013.0526353911	772812.196395811	706989.0415553349	639310.7140286451	552843.8263602012	446934.8644500237	329069.94044164993	202806.8265520265	65323.92723870728
14340-YK-4	777813.5568035848	840515.1691679583	907368.4655018618	961720.3739931299	1012817.2867372178	1059318.6396398125	1101346.266565953	1130688.1567757665	1155527.6826947695	1182378.0631620798	1198583.817344777	1212756.054459923	1221361.5094304464	1231337.4518241046	1239008.3671798427	1250560.7302510869	1257636.7320747552	1267637.9897523022	1274701.1466397578	1273925.0344299548	1278521.8687337858	1281992.2280631715	1281061.9336977971	1281791.124989539	1284945.4095318324	1289970.1421874638	1292540.3184284011	1289143.1876170617	1283670.6084744306	1276805.799533041	1271910.7837038636	1266194.5631555433	1262815.5794662458	1259434.2971263377	1254645.5514219275	1255018.3010493284	1254930.5041032594	1253576.4066912923	1253076.091998004	1255033.367208466	1261919.2201656173	1260718.3578899663	1259691.238262363	1257720.143237346	1252696.663863616	1248442.51134692	1247546.427012909	1246442.9626308717	1248937.944777454	1248630.5445656704	1241014.6144570112	1238350.7670212847	1235751.8062632652	1232221.4710539915	1228681.6803417318	1223311.2379888282	1212389.9116611874	1201139.3236474867	1194600.1444768854	1189062.5512837756	1182095.1516943667	1176367.2931071825	1176822.5604636546	1175454.3712983192	1170456.459632657	1159568.9676806056	1150875.4669997147	1145228.0937793578	1142946.409939337	1137835.1200058835	1136163.1297129595	1133371.0239324193	1130368.275672041	1127331.6631945593	1118864.601641716	1115359.5818741622	1111305.6829370165	1102184.7829159237	1094626.3114001327	1087288.7487265153	1081143.531510047	1073464.3157692614	1065610.530451801	1054832.1590637187	1038234.5440327052	1021864.1506967876	1001867.3160046436	985307.3990131052	955190.4421213145	917956.2993296436	872753.949783495	820137.2640004287	760908.1990386688	696160.8475713227	629935.1432724703	545288.1243266043	441326.62722976896	325466.4209393039	200626.8601142966	64774.108483485135
14340-YK-5	802818.092945909	866649.6487403759	935247.815399938	991635.9975896359	1045118.5107744581	1093446.4635136046	1137790.6981406126	1168813.2825745211	1195604.6754104043	1224638.4842415121	1242352.2352362534	1258069.0974008131	1267816.8620710862	1279081.076967086	1287626.4843239798	1300412.973768568	1307928.8335236327	1318835.7670134434	1326843.3210193862	1326502.0607528563	1331650.519986147	1335548.3596130894	1334599.9705521138	1335519.8813176174	1339087.1737896053	1344672.9857453164	1347920.7779506184	1344579.3792852624	1338740.8164746067	1331522.5474505764	1326071.3021009278	1319888.350403754	1316284.50616168	1312608.2367170604	1307621.1239719836	1308217.174375948	1308358.2083703275	1307111.85095881	1306710.7178349602	1308874.6959303832	1316818.015379839	1315632.284544414	1314360.7086833015	1312351.6546473776	1306778.0949549198	1302163.1676900072	1301300.1208843084	1300046.7979480582	1302396.4845812584	1301787.555071582	1293604.2146451531	1290763.0925512565	1287702.9082970987	1283992.8591229238	1280177.803148004	1274209.283740217	1262642.5709486883	1250619.7680201032	1243531.4166561468	1237666.8230464803	1230037.5990407069	1224056.0227288078	1224427.5556901793	1223045.7113107145	1217483.195429342	1205746.112492228	1196545.8699466265	1190664.610330679	1188144.1271482534	1182701.7312898112	1181065.2559917378	1178072.3973474363	1174635.609448621	1171205.4787720598	1161716.3955432533	1157540.9357891965	1153135.0282249677	1143298.784893608	1134947.2350804608	1127044.2145210211	1120413.73489762	1112207.0484322147	1103962.1590387058	1092787.287244936	1074969.0099649038	1057651.183385719	1036408.7196023157	1019058.63923344	987147.461226704	948138.3526834715	900733.174831443	845443.3468147948	783232.0202290345	715179.0261225158	646189.1798306039	558483.277432566	450980.58897129155	331821.6929291674	204038.94989867418	65809.07178911105
14340-YK-6	673387.9341532628	730591.6076272242	789046.9417265352	835858.1084463919	879530.0868822003	918937.7974133729	954105.4506283632	978465.0790600759	999304.214327142	1021671.3262745142	1034709.1758925482	1045372.7894649731	1051869.3995274184	1059446.1928467443	1065009.6090153775	1074015.2346000862	1078785.8427938595	1086412.786813669	1091537.8437855411	1090429.0829726977	1093811.5137787224	1096382.014941015	1094997.6630538087	1095113.4207683592	1097480.960323475	1101286.228333874	1103216.5399542954	1100156.8010270537	1095272.1479561166	1088935.23060908	1084344.1763820194	1079412.755479569	1076198.051986787	1072904.8123198505	1068682.056199049	1068977.5614631025	1068891.31455679	1067296.4662135926	1066544.6284883078	1068146.3311783073	1074064.7077988714	1072938.8488240233	1071932.4098368348	1070470.8042631424	1065968.3564717227	1062103.5185095652	1061196.2261257218	1060249.8921789825	1062011.6047574861	1061415.4073079918	1054821.2683134947	1052364.5678364965	1049993.7701576394	1047010.0022621991	1043850.1996425806	1039137.7753134352	1029968.1845358018	1020559.5253056153	1015200.0540358212	1010759.4335080058	1005117.7520985676	1000346.9209541223	1000582.7200870876	999318.67019909	994983.8125637006	985615.2286833172	978226.2459969864	973572.2420612763	971480.9804998309	967247.7752046876	965943.0606759296	963720.1334618382	961150.6004839182	958591.3818742636	951364.5015340258	948419.3006912709	945134.2738043782	937398.7004098569	930871.957512635	924803.6984463332	919618.1655608403	913285.2534537126	906565.0681573604	897478.7378496655	883072.0516341587	868704.2042618953	851549.825462224	837306.3546328406	811699.1744150969	780011.8450379253	741449.0982503495	696237.3891657684	645251.6257349253	589451.8257569283	532600.1452740062	460530.55899419746	372464.20432566793	274131.54684846743	168461.5905402674	54281.17153940379
14340-YK-7	758991.3493639433	819913.7211980809	884785.2154886702	937741.4314628612	987885.7518213053	1032931.2243186677	1073969.3538121972	1102992.2528711255	1128064.3590580213	1155213.910420504	1171756.0694169712	1186261.4600327224	1195343.0105083056	1205655.6217868212	1213425.6076856495	1225263.216253049	1232395.686060526	1242508.8539000184	1249948.7776939177	1249481.6819214465	1254214.3184121735	1257897.7611039244	1257233.770358538	1258295.7037250216	1261727.0538098349	1266621.2286562063	1269675.4051685422	1266745.9212807133	1261382.867986299	1254794.8592588084	1249807.2108667053	1244508.4113894831	1241186.2969922193	1237756.3038900953	1233370.482475054	1234225.8797434524	1234231.0388433887	1232869.0075677058	1232487.013185304	1234489.0891778062	1242038.5292024487	1240793.159682171	1239887.8953133873	1238123.989723056	1232800.0931538257	1228233.8455393575	1227410.8550428448	1226395.161216468	1228742.3168493458	1228363.47472471	1221060.7635115858	1218507.3019716432	1215877.2349806584	1212284.5978965063	1208627.6820527902	1203126.7018137297	1192635.220474613	1181561.3077196507	1175331.5688861513	1169854.8875589806	1162747.8656273573	1157113.6280366213	1157274.5186109135	1155790.2581733817	1150666.4796870556	1139943.8564578837	1131249.604333312	1125698.7611161922	1123375.7876882618	1118259.661389317	1116787.8850375088	1114087.7985571858	1111042.5697117294	1108113.422321615	1099523.420729826	1095866.297639706	1091975.514247249	1082950.125617321	1075330.9041488913	1067841.2220574808	1061469.264941931	1053833.480977847	1045935.9604279398	1035390.138756763	1018739.1883618942	1002308.4519923765	982344.4298059619	965819.1832310857	935717.3522360094	898841.7041101096	854125.7333346279	801976.820502964	743416.930360293	679265.2773896443	613816.4305718371	530684.1709490323	428931.1453952429	315601.6003577341	194191.10233740575	62604.0288833494
14340-YK-8	689735.2998400982	744843.7210502946	803634.0417001146	851788.8932008805	897187.7731656281	938312.8463174367	975523.3852648428	1001582.7645045613	1024044.4838252696	1048171.81520199	1063009.1277862128	1075883.50673092	1084184.1326349208	1093345.4608402436	1100202.563304074	1110401.655945882	1116471.983508708	1125274.115464135	1131938.0478601775	1131617.4338717596	1135650.6681840094	1138685.127313103	1138112.73871924	1139017.187145522	1141797.3424180148	1145965.6921025252	1148207.0033573825	1145066.4195988455	1140049.4769495495	1133808.0703209639	1129517.158779422	1124525.6701993889	1121216.7992766874	1117937.4483831152	1113668.0958483424	1114000.4508603641	1113843.4214969147	1112489.5793236643	1112105.0624380098	1113715.4682326787	1119889.3512594474	1118773.7650592674	1117875.4110453094	1116340.672674146	1111868.1846408953	1108111.6325209162	1107368.4958320078	1106170.0745015298	1108182.7683222995	1107867.9089969054	1101540.5055893555	1099140.1372920284	1096915.4061461077	1093761.9397257154	1090569.2941221355	1085783.8115243025	1076314.6204629836	1066423.017672757	1060654.583186677	1055718.8154187845	1049659.1812589976	1044662.482856405	1045031.858261114	1043651.8371082359	1039218.0221983152	1029513.331058493	1021717.5075066796	1016607.506760268	1014469.3995501421	1009823.5700114935	1008185.924222669	1005641.6473478981	1002719.9369201796	999897.5839630199	992408.0760798972	989380.7139303575	985883.2902214524	978264.5538313761	971733.0326917241	965271.3893459389	960215.1378256502	953665.1049824643	946857.8605118511	937286.8145654736	922592.6431580356	908118.3206738565	890379.1511790401	875412.5225646736	848562.9122128743	815596.9116038877	775427.6619772044	728683.2199071451	676015.8440446081	618229.4932035822	558920.6395142311	483409.1243770001	390887.389687307	287992.1313379646	177391.20656856595	57132.06747550809
14340-YK-9	716140.0090000367	774060.1656119779	835515.8730213603	885474.1928270585	931840.8624157088	973972.6476619063	1012333.1576321345	1039222.7244246212	1062296.1749691148	1086798.3076854467	1101805.9063957643	1114753.1446130257	1122704.3019038874	1131738.9926920226	1138485.0657465036	1148793.2344100398	1155428.5281558232	1164712.202917416	1171180.771355876	1170200.663247325	1173920.2331518321	1176691.090069983	1175665.2616448426	1176342.6551115774	1178794.250619703	1182758.7699555499	1184943.523887383	1181680.2450111264	1176416.6082722724	1169872.956168169	1165127.1076336962	1160035.727470567	1156780.2452475016	1153365.5025753535	1148786.1150175284	1149258.0078033218	1148881.6595447357	1147633.9511436778	1147106.7440900654	1148793.923406286	1155192.9323710005	1154105.3557680384	1153262.1293079043	1151461.186692173	1146407.8204851039	1141955.4757927766	1141109.7905652458	1139741.9876193157	1141956.084371589	1141624.2939153991	1134817.017221347	1132109.8803833453	1129570.1351624494	1126004.561561203	1122672.717223438	1117622.0094292907	1107649.9241644687	1097340.921197151	1091193.6760557296	1085855.139749652	1079332.3643300266	1073997.649696768	1074242.1289505565	1072690.7553117883	1067969.7170458094	1057859.4147048325	1049652.4236771776	1044238.1729161682	1042122.6238468894	1037120.9582512329	1035387.8396804056	1032838.1665665605	1029775.202265675	1026776.0519767745	1018754.4055447793	1015495.6096864567	1011756.9695920664	1003451.0884427149	996316.5839231723	989382.61637706	983883.7950874377	976927.2984072485	969728.9951863476	959704.4280509531	944626.2279238083	929839.4621021056	911628.7189458531	896410.1389677061	868803.49032539	834753.8914776628	793556.8427499438	745676.1543898672	691801.4312001478	632940.6902211722	572479.5987566124	495100.4972442163	400357.4009377736	294949.0101962185	181910.42561095336	58622.35259750858
