index_waters,Electrophile,Electrophile SMILES,Nucleophile,Nucleophile SMILES,Product SMILES,nu/100000,prod/100000,prod/(nu+prod)*100,inhibition %,inhibition % in 5-fold dilution
F18,E232_2-methoxypyridine-4-carboxylic acid,COC1=NC=CC(=C1)C(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,COc1cc(CNC[C@]2(C)CCC[C@]3(C)c4cc(O)c(C(C)C)cc4CCC23)ccn1,0.8,4.9,86.2,-34.5,0
F19,"E287_(E)-3,4-Dimethoxycinnamic acid",COC1=C(C=C(C=C1)C=CC(=O)O)OC,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,COc1ccc(C=CCNC[C@]2(C)CCC[C@]3(C)c4cc(O)c(C(C)C)cc4CCC23)cc1OC,0,11.4,100,-11,0
F20,"E19_DL-PIPECOLINIC ACID, 98%",C1CCNC(C1)C(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCC3CCCCN3)C1CC2,5.2,0,0,-26.4,0
F21,"E113_2,2-DIFLUOROPENT-4-ENOIC ACID, 95%",C=CCC(C(=O)O)(F)F,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,C=CCC(F)(F)CNC[C@]1(C)CCC[C@]2(C)c3cc(O)c(C(C)C)cc3CCC12,0.3,0,0,-13.1,0
F22,E244_Pyridazine-4-carboxylic acid,C1=CN=NC=C1C(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCc3ccnnc3)C1CC2,8.5,0,0,-15.6,0
F25,"E7_1-METHYLINDOLE-3-CARBOXYLIC ACID, 97%",CN1C=C(C2=CC=CC=C21)C(=O)O,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCc4cn(C)c5ccccc45)CCC[C@]3(C)C2CC1,11.2,8.2,42.2,42.3,0
F26,"E60_3,4-DICHLOROBENZOIC ACID, 95%",C1=CC(=C(C=C1C(=O)O)Cl)Cl,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCc4ccc(Cl)c(Cl)c4)CCC[C@]3(C)C2CC1,7.5,12.5,62.4,10.5,0
F27,"E103_5-CHLORO-2-PYRIDINECARBOXYLIC ACID, 97%",C1=CC(=NC=C1Cl)C(=O)O,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCc4ccc(Cl)cn4)CCC[C@]3(C)C2CC1,7.1,5.6,44.1,9.6,0
F28,E148_1-phenylmethoxycarbonylpiperidine-4-carboxylic acid,C1CN(CCC1C(=O)O)C(=O)OCC2=CC=CC=C2,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCC4CCN(C(=O)OCc5ccccc5)CC4)CCC[C@]3(C)C2CC1,3.3,11.8,78.1,12.1,0
F29,E188_3-phenylpropanoic acid,C1=CC=C(C=C1)CCC(=O)O,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCCCc4ccccc4)CCC[C@]3(C)C2CC1,8.7,0.3,3,15.4,0
F30,E232_2-methoxypyridine-4-carboxylic acid,COC1=NC=CC(=C1)C(=O)O,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,COc1cc(CNC[C@]2(C)CCC[C@]3(C)C4CCC(C(C)C)=CC4=CCC23)ccn1,14.4,38.2,72.6,19.7,0
F31,"E287_(E)-3,4-Dimethoxycinnamic acid",COC1=C(C=C(C=C1)C=CC(=O)O)OC,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,COc1ccc(C=CCNC[C@]2(C)CCC[C@]3(C)C4CCC(C(C)C)=CC4=CCC23)cc1OC,4.3,18,80.7,4.4,0
F32,"E19_DL-PIPECOLINIC ACID, 98%",C1CCNC(C1)C(=O)O,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCC4CCCCN4)CCC[C@]3(C)C2CC1,8.9,0,0,-8.9,0
F33,"E113_2,2-DIFLUOROPENT-4-ENOIC ACID, 95%",C=CCC(C(=O)O)(F)F,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,C=CCC(F)(F)CNC[C@]1(C)CCC[C@]2(C)C3CCC(C(C)C)=CC3=CCC12,28.4,0,0,71.7,7.49
F34,E244_Pyridazine-4-carboxylic acid,C1=CN=NC=C1C(=O)O,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCc4ccnnc4)CCC[C@]3(C)C2CC1,9.4,0,0,-4.2,0
F37,"E7_1-METHYLINDOLE-3-CARBOXYLIC ACID, 97%",CN1C=C(C2=CC=CC=C21)C(=O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCc4cn(C)c5ccccc45)c(C(C)C)cc3CCC12,15.1,0,0,2.5,0
F38,"E60_3,4-DICHLOROBENZOIC ACID, 95%",C1=CC(=C(C=C1C(=O)O)Cl)Cl,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCc4ccc(Cl)c(Cl)c4)c(C(C)C)cc3CCC12,14.6,7.6,34.3,2.3,0
F39,"E103_5-CHLORO-2-PYRIDINECARBOXYLIC ACID, 97%",C1=CC(=NC=C1Cl)C(=O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCc4ccc(Cl)cn4)c(C(C)C)cc3CCC12,19.2,3.3,14.8,9.1,0
F40,E148_1-phenylmethoxycarbonylpiperidine-4-carboxylic acid,C1CN(CCC1C(=O)O)C(=O)OCC2=CC=CC=C2,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCC4CCN(C(=O)OCc5ccccc5)CC4)c(C(C)C)cc3CCC12,4.8,7.9,62.3,-12.2,0
F41,E188_3-phenylpropanoic acid,C1=CC=C(C=C1)CCC(=O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCCCc4ccccc4)c(C(C)C)cc3CCC12,8.5,0,0,-23.5,0
F42,E232_2-methoxypyridine-4-carboxylic acid,COC1=NC=CC(=C1)C(=O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCc4ccnc(OC)c4)c(C(C)C)cc3CCC12,18.2,11.3,38.3,4.8,0
F43,"E287_(E)-3,4-Dimethoxycinnamic acid",COC1=C(C=C(C=C1)C=CC(=O)O)OC,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCC=Cc4ccc(OC)c(OC)c4)c(C(C)C)cc3CCC12,15.1,14.5,49.1,14,0
F44,"E19_DL-PIPECOLINIC ACID, 98%",C1CCNC(C1)C(=O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCC4CCCCN4)c(C(C)C)cc3CCC12,7.1,0,0,-10.7,0
F45,"E113_2,2-DIFLUOROPENT-4-ENOIC ACID, 95%",C=CCC(C(=O)O)(F)F,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,C=CCC(F)(F)CNc1cc2c(cc1C(C)C)CCC1[C@](C)(CNCC)CCC[C@]21C,3,0,0,11.8,0
F46,E244_Pyridazine-4-carboxylic acid,C1=CN=NC=C1C(=O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCc4ccnnc4)c(C(C)C)cc3CCC12,8.3,0.3,3.7,-15.3,0
G1,"E8_4-FLUOROBENZOIC ACID, 98%",C1=CC(=CC=C1C(=O)O)F,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCc3ccc(F)cc3)CCC[C@]21C,38.91,10.3,20.9,87.2,-12.94
G2,"E63_5-(FURAN-2-YL)-1,2-OXAZOLE-3-CARBOXYLIC ACID",C1=COC(=C1)C2=CC(=NO2)C(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCc3cc(-c4ccco4)on3)CCC[C@]21C,22.03,20.1,47.7,-17.3,0
G3,"E104_CITRAZINIC ACID, 97%",C1=C(C=C(NC1=O)O)C(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCc3cc(O)[nH]c(=O)c3)CCC[C@]21C,18.99,0,0,-16.2,0
G4,E149_5-(4-chlorophenyl)furan-2-carboxylic acid,C1=CC(=CC=C1C2=CC=C(O2)C(=O)O)Cl,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCc3ccc(-c4ccc(Cl)cc4)o3)CCC[C@]21C,17.39,19.3,52.6,7.8,0
G5,E189_2-(4-hydroxy-3-methoxyphenyl)acetic acid,COC1=C(C=CC(=C1)CC(=O)O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,COc1cc(CCNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@@H]23)ccc1O,11.96,42.1,77.9,45.6,0
G6,E233_3-(3-methylphenyl)propanoic acid,CC1=CC(=CC=C1)CCC(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,Cc1cccc(CCCNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@@H]23)c1,17.72,0,0,4.1,0
G7,E288_(E)-4-Oxo-4-phenylbut-2-enoic acid,C1=CC=C(C=C1)C(=O)C=CC(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCC=CC(=O)c3ccccc3)CCC[C@]21C,20.65,0,0,-2.7,0
G8,"E21_2-PHENYLPROPIONIC ACID, 97%",CC(C1=CC=CC=C1)C(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCC(C)c3ccccc3)CCC[C@]21C,5.16,4,43.9,-17.7,0
G9,"E114_3,3-DIMETHYLBUTYRIC ACID, 98%",CC(C)(C)CC(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCCC(C)(C)C)CCC[C@]21C,3.24,5.7,63.8,-4.9,0
G10,E246_Pyrazinecarboxylic acid,C1=CN=C(C=N1)C(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCc3cnccn3)CCC[C@]21C,23.05,0,0,8.3,0
G13,"E8_4-FLUOROBENZOIC ACID, 98%",C1=CC(=CC=C1C(=O)O)F,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCc3ccc(F)cc3)C1CC2,17.88,5.2,22.5,9.4,0
G14,"E63_5-(FURAN-2-YL)-1,2-OXAZOLE-3-CARBOXYLIC ACID",C1=COC(=C1)C2=CC(=NO2)C(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCc3cc(-c4ccco4)on3)C1CC2,2.02,12.7,86.2,5.3,0
G15,"E104_CITRAZINIC ACID, 97%",C1=C(C=C(NC1=O)O)C(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCc3cc(O)[nH]c(=O)c3)C1CC2,10.96,0,0,4.3,0
G16,E149_5-(4-chlorophenyl)furan-2-carboxylic acid,C1=CC(=CC=C1C2=CC=C(O2)C(=O)O)Cl,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCc3ccc(-c4ccc(Cl)cc4)o3)C1CC2,0.25,2,88.9,15.5,0
G17,E189_2-(4-hydroxy-3-methoxyphenyl)acetic acid,COC1=C(C=CC(=C1)CC(=O)O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,COc1cc(CCNC[C@]2(C)CCC[C@]3(C)c4cc(O)c(C(C)C)cc4CCC23)ccc1O,0,1.3,100,11.6,0
G18,E233_3-(3-methylphenyl)propanoic acid,CC1=CC(=CC=C1)CCC(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,Cc1cccc(CCCNC[C@]2(C)CCC[C@]3(C)c4cc(O)c(C(C)C)cc4CCC23)c1,3.82,0,0,16.6,0
G19,E288_(E)-4-Oxo-4-phenylbut-2-enoic acid,C1=CC=C(C=C1)C(=O)C=CC(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCC=CC(=O)c3ccccc3)C1CC2,0,6.1,100,24.1,0
G20,"E21_2-PHENYLPROPIONIC ACID, 97%",CC(C1=CC=CC=C1)C(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCC(C)c3ccccc3)C1CC2,0,2,100,23.2,0
G21,"E114_3,3-DIMETHYLBUTYRIC ACID, 98%",CC(C)(C)CC(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCCC(C)(C)C)C1CC2,0,1,100,28,0
G22,E246_Pyrazinecarboxylic acid,C1=CN=C(C=N1)C(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCc3cnccn3)C1CC2,6.72,0,0,27.8,0
G25,"E8_4-FLUOROBENZOIC ACID, 98%",C1=CC(=CC=C1C(=O)O)F,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCc4ccc(F)cc4)CCC[C@]3(C)C2CC1,9.2,0.3,3,-6.8,0
G26,"E63_5-(FURAN-2-YL)-1,2-OXAZOLE-3-CARBOXYLIC ACID",C1=COC(=C1)C2=CC(=NO2)C(=O)O,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCc4cc(-c5ccco5)on4)CCC[C@]3(C)C2CC1,8.7,21.9,71.6,-0.3,0
G27,"E104_CITRAZINIC ACID, 97%",C1=C(C=C(NC1=O)O)C(=O)O,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCc4cc(O)[nH]c(=O)c4)CCC[C@]3(C)C2CC1,12.8,2.9,18.3,-13.5,0
G28,E149_5-(4-chlorophenyl)furan-2-carboxylic acid,C1=CC(=CC=C1C2=CC=C(O2)C(=O)O)Cl,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCc4ccc(-c5ccc(Cl)cc5)o4)CCC[C@]3(C)C2CC1,7,12.3,63.7,-22.4,0
G29,E189_2-(4-hydroxy-3-methoxyphenyl)acetic acid,COC1=C(C=CC(=C1)CC(=O)O)O,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,COc1cc(CCNC[C@]2(C)CCC[C@]3(C)C4CCC(C(C)C)=CC4=CCC23)ccc1O,8.5,41.6,83,53.7,0
G30,E233_3-(3-methylphenyl)propanoic acid,CC1=CC(=CC=C1)CCC(=O)O,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,Cc1cccc(CCCNC[C@]2(C)CCC[C@]3(C)C4CCC(C(C)C)=CC4=CCC23)c1,9.8,0,0,12.7,0
G31,E288_(E)-4-Oxo-4-phenylbut-2-enoic acid,C1=CC=C(C=C1)C(=O)C=CC(=O)O,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCC=CC(=O)c4ccccc4)CCC[C@]3(C)C2CC1,3.6,0,0,8.7,0
G32,"E21_2-PHENYLPROPIONIC ACID, 97%",CC(C1=CC=CC=C1)C(=O)O,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCC(C)c4ccccc4)CCC[C@]3(C)C2CC1,1.9,7.3,79.4,3.2,0
G33,"E114_3,3-DIMETHYLBUTYRIC ACID, 98%",CC(C)(C)CC(=O)O,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCCC(C)(C)C)CCC[C@]3(C)C2CC1,1.7,4.8,73.8,-16.6,0
G34,E246_Pyrazinecarboxylic acid,C1=CN=C(C=N1)C(=O)O,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)C1=CC2=CCC3[C@](C)(CNCc4cnccn4)CCC[C@]3(C)C2CC1,9.3,0,0,8.6,0
G37,"E8_4-FLUOROBENZOIC ACID, 98%",C1=CC(=CC=C1C(=O)O)F,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCc4ccc(F)cc4)c(C(C)C)cc3CCC12,9.3,0.7,7.1,-9.1,0
G38,"E63_5-(FURAN-2-YL)-1,2-OXAZOLE-3-CARBOXYLIC ACID",C1=COC(=C1)C2=CC(=NO2)C(=O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCc4cc(-c5ccco5)on4)c(C(C)C)cc3CCC12,5.7,8.8,60.6,-16.5,0
G39,"E104_CITRAZINIC ACID, 97%",C1=C(C=C(NC1=O)O)C(=O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCc4cc(O)[nH]c(=O)c4)c(C(C)C)cc3CCC12,9.6,0,0,-1.4,0
G40,E149_5-(4-chlorophenyl)furan-2-carboxylic acid,C1=CC(=CC=C1C2=CC=C(O2)C(=O)O)Cl,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCc4ccc(-c5ccc(Cl)cc5)o4)c(C(C)C)cc3CCC12,12.3,12.9,51.2,3.3,0
G41,E189_2-(4-hydroxy-3-methoxyphenyl)acetic acid,COC1=C(C=CC(=C1)CC(=O)O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCCc4ccc(O)c(OC)c4)c(C(C)C)cc3CCC12,10.1,13.6,57.5,-12.3,0
G42,E233_3-(3-methylphenyl)propanoic acid,CC1=CC(=CC=C1)CCC(=O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCCCc4cccc(C)c4)c(C(C)C)cc3CCC12,5.5,0,0,-2.1,0
G43,E288_(E)-4-Oxo-4-phenylbut-2-enoic acid,C1=CC=C(C=C1)C(=O)C=CC(=O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCC=CC(=O)c4ccccc4)c(C(C)C)cc3CCC12,2.9,5.9,67.1,10.2,0
G44,"E21_2-PHENYLPROPIONIC ACID, 97%",CC(C1=CC=CC=C1)C(=O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCC(C)c4ccccc4)c(C(C)C)cc3CCC12,14.4,6.5,31.3,18.2,0
G45,"E114_3,3-DIMETHYLBUTYRIC ACID, 98%",CC(C)(C)CC(=O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCCC(C)(C)C)c(C(C)C)cc3CCC12,2.3,6.9,75,12.5,0
G46,E246_Pyrazinecarboxylic acid,C1=CN=C(C=N1)C(=O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCc4cnccn4)c(C(C)C)cc3CCC12,7.1,0,0,10.2,0
H1,"E9_4-PHENOXYBENZOIC ACID, 97%",C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCc3ccc(Oc4ccccc4)cc3)CCC[C@]21C,29.5,39.1,57,39.3,0
H2,"E64_2-(FURAN-2-YL)-1,3-THIAZOLE-4-CARBOXYLIC ACID",C1=COC(=C1)C2=NC(=CS2)C(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCc3csc(-c4ccco4)n3)CCC[C@]21C,35.5,59.4,62.6,92.4,2.04
H3,"E105_2-(4-CYANOPHENYL)-2,2-DIFLUOROACETIC ACID, 95%",C1=CC(=CC=C1C#N)C(C(=O)O)(F)F,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCC(F)(F)c3ccc(C#N)cc3)CCC[C@]21C,36.4,6.2,14.5,74.4,-18.02
H4,E150_2-(3-chlorophenyl)acetic acid,C1=CC(=CC(=C1)Cl)CC(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCCc3cccc(Cl)c3)CCC[C@]21C,12.2,0,0,8.2,0
H5,E190_2-(3-hydroxy-4-methoxyphenyl)acetic acid,COC1=C(C=C(C=C1)CC(=O)O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,COc1ccc(CCNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@@H]23)cc1O,20.9,31.3,59.9,88.6,3.52
H6,E234_naphthalene-2-carboxylic acid,C1=CC=C2C=C(C=CC2=C1)C(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCc3ccc4ccccc4c3)CCC[C@]21C,18.6,33.5,64.4,24.7,0
H7,E289_3-(4-Bromophenyl)acrylic acid,C1=CC(=CC=C1C=CC(=O)O)Br,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCC=Cc3ccc(Br)cc3)CCC[C@]21C,11.1,21.3,65.8,6,0
