Unnamed: 0,product_smiles,reaction_class
40,COc1cc(NC(C)CCCNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)c2ncccc2c1,DHA
41,Cc1ccc(S(=O)(=O)NC(c2ccccc2)C(NC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)c2ccccc2)cc1,DHA
42,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1ncnc2nc[nH]c12,DHA
43,COc1ccc2[nH]cc(CCNC[C@]3(C)CCC[C@]4(C)c5ccc(C(C)C)cc5CC[C@H]43)c2c1,DHA
44,CC(=O)Nc1ccc(NC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)cc1,DHA
45,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCNC(=O)OC(C)(C)C,DHA
46,COc1ncnc(NS(=O)(=O)c2ccc(NC[C@]3(C)CCC[C@]4(C)c5ccc(C(C)C)cc5CC[C@H]43)cc2)c1OC,DHA
47,COc1ncnc(NS(=O)(=O)c2ccc(NC[C@]3(C)CCC[C@]4(C)c5ccc(C(C)C)cc5CC[C@H]43)cc2)c1OC,DHA
48,COc1ncnc(NS(=O)(=O)c2ccc(NC[C@]3(C)CCC[C@]4(C)c5ccc(C(C)C)cc5CC[C@H]43)cc2)c1OC,DHA
49,Cc1cc(NS(=O)(=O)c2ccc(NC[C@]3(C)CCC[C@]4(C)c5ccc(C(C)C)cc5CC[C@H]43)cc2)no1,DHA
50,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1ccc2[nH]ccc2c1,DHA
51,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCc1cnc[nH]1,DHA
52,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCc1ccc(O)cc1,DHA
53,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCc1ccc(-c2ccccc2)cc1,DHA
54,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCc1ccc(-c2ccccc2)cc1,DHA
55,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCBr,DHA
56,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCCO,DHA
57,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCCCl,DHA
58,COc1cc(CCNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)ccc1O,DHA
59,COc1cc(CCNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)ccc1O,DHA
60,COc1cc(CCNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)ccc1O,DHA
61,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1ccc([N+](=O)[O-])cc1,DHA
62,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCc1ccc(Oc2ccccc2)cc1,DHA
63,Cc1nc(Cl)cc(NC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)n1,DHA
64,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNC(=[NH2+])c1ccccc1,DHA
65,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1ccc(S(=O)(=O)O)cc1,DHA
66,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCO,DHA
67,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCO,DHA
68,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(C)(C)C,DHA
69,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1ccccc1,DHA
70,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1ccccc1,DHA
71,COc1ccc(Cl)c(NC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)c1,DHA
72,CCc1ccccc1NC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,DHA
73,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1cccc(Cl)c1Cl,DHA
74,Cc1cccc(C)c1NC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,DHA
