gene_id,symbol,log2FoldChange,padj,Sig
ENSG00000006468,ETV1,-0.001880476,0.969841309,NS
ENSG00000006530,AGK,0.004848049,0.933797547,NS
ENSG00000006534,ALDH3B1,0.002964382,NA,NS
ENSG00000006576,PHTF2,0.04613023,0.284676696,NS
ENSG00000006607,FARP2,0.058326974,0.177903294,NS
ENSG00000006625,GGCT,0.051422793,0.15681849,NS
ENSG00000006634,DBF4,-0.020961982,0.665757621,NS
ENSG00000006638,TBXA2R,-0.000738927,NA,NS
ENSG00000006652,IFRD1,-0.014790226,0.780173176,NS
ENSG00000006695,COX10,0.021075049,0.692234258,NS
ENSG00000006704,GTF2IRD1,0.01608078,0.779824231,NS
ENSG00000006712,PAF1,-0.060361291,0.110971273,NS
ENSG00000006715,VPS41,0.14936225,0.000135821,NS
ENSG00000006740,ARHGAP44,0.023409194,0.660475257,NS
ENSG00000006744,ELAC2,-0.02639471,0.488232133,NS
ENSG00000006747,SCIN,0.00141033,NA,NS
ENSG00000006756,ARSD,0.000684297,0.992219614,NS
ENSG00000006757,PNPLA4,-0.025133079,0.632943246,NS
ENSG00000006831,ADIPOR2,0.05697582,0.12016999,NS
ENSG00000006837,CDKL3,0.005540668,NA,NS
ENSG00000007047,MARK4,-0.015578425,0.787745281,NS
ENSG00000007080,CCDC124,-0.143082393,0.000172361,NS
ENSG00000007168,PAFAH1B1,0.03025627,0.411859919,NS
ENSG00000007174,DNAH9,0.02518198,NA,NS
ENSG00000007202,BLTP2,0.060313664,0.112107474,NS
ENSG00000007255,TRAPPC6A,-0.039346649,0.411859919,NS
ENSG00000007341,ST7L,0.007971037,0.895862576,NS
ENSG00000007350,TKTL1,-0.000532357,NA,NS
ENSG00000007376,RPUSD1,-0.030218986,0.534603947,NS
ENSG00000007384,RHBDF1,-0.05258029,0.264273025,NS
ENSG00000007392,LUC7L,-0.036447351,0.445025143,NS
ENSG00000007402,CACNA2D2,3.55E-06,NA,NS
ENSG00000007516,BAIAP3,0.018220524,NA,NS
ENSG00000007520,TSR3,-0.034182056,0.468989759,NS
ENSG00000007541,PIGQ,-0.017060991,0.75631393,NS
ENSG00000007545,CRAMP1,-0.021120102,0.69318448,NS
ENSG00000007866,TEAD3,-0.037869572,0.439739443,NS
ENSG00000007923,DNAJC11,-0.018024036,0.676904682,NS
ENSG00000007944,MYLIP,0.073023699,0.110875469,NS
ENSG00000007952,NOX1,0.015544961,NA,NS
ENSG00000007968,E2F2,0.01244731,0.834618195,NS
ENSG00000008018,PSMB1,-0.037483912,0.376710894,NS
ENSG00000008083,JARID2,-0.002267692,0.970604323,NS
ENSG00000008086,CDKL5,0.038824932,NA,NS
ENSG00000008128,CDK11A,-0.059037881,0.202072364,NS
ENSG00000008130,NADK,-0.03828933,0.295449006,NS
ENSG00000008256,CYTH3,-0.002696842,0.966809741,NS
ENSG00000008277,ADAM22,0.054184147,0.248639415,NS
