FILE_NAME,FILE_TEXT,MS_FILE,INLET_FILE,SAMPLE_LOCATION,ID,INJ_VOL,Index,Job,User,1536loc,384loc,384plate
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A1_1_A1,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A1_1_A1,2min melodie,2m melodie,"4:A,1",ID_A1,0.2,A1,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A1,A1,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A2_1_A2,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A2_1_A2,2min melodie,2m melodie,"4:A,2",ID_A2,0.2,A2,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A2,A2,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A3_1_A3,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A3_1_A3,2min melodie,2m melodie,"4:A,3",ID_A3,0.2,A3,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A3,A3,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A4_1_A4,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A4_1_A4,2min melodie,2m melodie,"4:A,4",ID_A4,0.2,A4,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A4,A4,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A5_1_A5,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A5_1_A5,2min melodie,2m melodie,"4:A,5",ID_A5,0.2,A5,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A5,A5,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A6_1_A6,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A6_1_A6,2min melodie,2m melodie,"4:A,6",ID_A6,0.2,A6,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A6,A6,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A7_1_A7,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A7_1_A7,2min melodie,2m melodie,"4:A,7",ID_A7,0.2,A7,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A7,A7,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A8_1_A8,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A8_1_A8,2min melodie,2m melodie,"4:A,8",ID_A8,0.2,A8,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A8,A8,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A9_1_A9,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A9_1_A9,2min melodie,2m melodie,"4:A,9",ID_A9,0.2,A9,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A9,A9,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A10_1_A10,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A10_1_A10,2min melodie,2m melodie,"4:A,10",ID_A10,0.2,A10,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A10,A10,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A11_1_A11,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A11_1_A11,2min melodie,2m melodie,"4:A,11",ID_A11,0.2,A11,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A11,A11,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A12_1_A12,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A12_1_A12,2min melodie,2m melodie,"4:A,12",ID_A12,0.2,A12,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A12,A12,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A13_1_A13,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A13_1_A13,2min melodie,2m melodie,"4:A,13",ID_A13,0.2,A13,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A13,A13,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A14_1_A14,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A14_1_A14,2min melodie,2m melodie,"4:A,14",ID_A14,0.2,A14,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A14,A14,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A15_1_A15,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A15_1_A15,2min melodie,2m melodie,"4:A,15",ID_A15,0.2,A15,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A15,A15,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A16_1_A16,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A16_1_A16,2min melodie,2m melodie,"4:A,16",ID_A16,0.2,A16,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A16,A16,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A17_1_A17,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A17_1_A17,2min melodie,2m melodie,"4:A,17",ID_A17,0.2,A17,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A17,A17,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A18_1_A18,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A18_1_A18,2min melodie,2m melodie,"4:A,18",ID_A18,0.2,A18,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A18,A18,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A19_1_A19,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A19_1_A19,2min melodie,2m melodie,"4:A,19",ID_A19,0.2,A19,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A19,A19,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A20_1_A20,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A20_1_A20,2min melodie,2m melodie,"4:A,20",ID_A20,0.2,A20,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A20,A20,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A21_1_A21,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A21_1_A21,2min melodie,2m melodie,"4:A,21",ID_A21,0.2,A21,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A21,A21,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A22_1_A22,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A22_1_A22,2min melodie,2m melodie,"4:A,22",ID_A22,0.2,A22,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A22,A22,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A23_1_A23,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A23_1_A23,2min melodie,2m melodie,"4:A,23",ID_A23,0.2,A23,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A23,A23,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A24_1_A24,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_A24_1_A24,2min melodie,2m melodie,"4:A,24",ID_A24,0.2,A24,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,A24,A24,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C1_1_B1,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C1_1_B1,2min melodie,2m melodie,"4:B,1",ID_C1,0.2,C1,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,C1,B1,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C2_1_B2,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C2_1_B2,2min melodie,2m melodie,"4:B,2",ID_C2,0.2,C2,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,C2,B2,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C3_1_B3,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C3_1_B3,2min melodie,2m melodie,"4:B,3",ID_C3,0.2,C3,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,C3,B3,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C4_1_B4,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C4_1_B4,2min melodie,2m melodie,"4:B,4",ID_C4,0.2,C4,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,C4,B4,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C5_1_B5,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C5_1_B5,2min melodie,2m melodie,"4:B,5",ID_C5,0.2,C5,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,C5,B5,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C6_1_B6,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C6_1_B6,2min melodie,2m melodie,"4:B,6",ID_C6,0.2,C6,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,C6,B6,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C7_1_B7,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C7_1_B7,2min melodie,2m melodie,"4:B,7",ID_C7,0.2,C7,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,C7,B7,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C8_1_B8,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C8_1_B8,2min melodie,2m melodie,"4:B,8",ID_C8,0.2,C8,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,C8,B8,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C9_1_B9,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C9_1_B9,2min melodie,2m melodie,"4:B,9",ID_C9,0.2,C9,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,C9,B9,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C10_1_B10,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C10_1_B10,2min melodie,2m melodie,"4:B,10",ID_C10,0.2,C10,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,C10,B10,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C11_1_B11,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C11_1_B11,2min melodie,2m melodie,"4:B,11",ID_C11,0.2,C11,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,C11,B11,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C12_1_B12,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C12_1_B12,2min melodie,2m melodie,"4:B,12",ID_C12,0.2,C12,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,C12,B12,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C13_1_B13,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C13_1_B13,2min melodie,2m melodie,"4:B,13",ID_C13,0.2,C13,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,C13,B13,1.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C14_1_B14,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_C14_1_B14,2min melodie,2m melodie,"4:B,14",ID_C14,0.2,C14,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,C14,B14,1.0
