gene_id,entrezgene_id,external_gene_name,description,transcript_id(s),14340-YK-1,14340-YK-2,14340-YK-3,14340-YK-4,14340-YK-5,14340-YK-6,14340-YK-7,14340-YK-8,14340-YK-9
ENSG00000001626,1080,CFTR,CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884],"ENST00000003084,ENST00000426809,ENST00000429014,ENST00000436097,ENST00000446805,ENST00000468795,ENST00000472848,ENST00000546407,ENST00000600166,ENST00000608965,ENST00000610149,ENST00000621535,ENST00000647639,ENST00000647720,ENST00000647978,ENST00000648260,ENST00000649406,ENST00000649781,ENST00000649850,ENST00000673785,ENST00000685018,ENST00000687278,ENST00000689011,ENST00000692802,ENST00000693465,ENST00000693480,ENST00000699585,ENST00000699596,ENST00000699597,ENST00000699598,ENST00000699599,ENST00000699600,ENST00000699601,ENST00000699602,ENST00000699603,ENST00000699604,ENST00000699605,ENST00000699606",4,0,11,10,5,5,6,4,2
ENSG00000001629,54467,ANKIB1,ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215],"ENST00000265742,ENST00000413588,ENST00000422095,ENST00000439883,ENST00000442183,ENST00000465883,ENST00000486698",2752,3524,3543,3747,3534,3144,3470,3310,3402
ENSG00000001630,1595,CYP51A1,cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649],"ENST00000003100,ENST00000422867,ENST00000450723,ENST00000482924,ENST00000691309",10086.71,11206.55,11337.48,13473.62,12971.16,11030.35,11617.68,11396.52,11682.96
ENSG00000001631,889,KRIT1,KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573],"ENST00000340022,ENST00000394503,ENST00000394505,ENST00000394507,ENST00000412043,ENST00000413688,ENST00000422347,ENST00000425073,ENST00000425919,ENST00000430102,ENST00000433016,ENST00000440209,ENST00000444960,ENST00000445516,ENST00000452773,ENST00000454017,ENST00000458177,ENST00000466166,ENST00000470309,ENST00000475770,ENST00000486261,ENST00000487168,ENST00000489087,ENST00000684808,ENST00000685285,ENST00000685431,ENST00000686043,ENST00000686094,ENST00000686149,ENST00000686233,ENST00000686527,ENST00000686619,ENST00000686785,ENST00000687135,ENST00000687517,ENST00000687627,ENST00000687876,ENST00000688180,ENST00000688196,ENST00000688314,ENST00000688404,ENST00000688580,ENST00000688665,ENST00000688766,ENST00000688781,ENST00000689082,ENST00000689411,ENST00000689539,ENST00000689556,ENST00000689778,ENST00000689789,ENST00000690292,ENST00000690529,ENST00000690720,ENST00000690751,ENST00000690904,ENST00000690908,ENST00000691222,ENST00000691239,ENST00000691622,ENST00000691827,ENST00000691890,ENST00000692000,ENST00000692157,ENST00000692205,ENST00000692361,ENST00000692428,ENST00000692690,ENST00000692807,ENST00000693563",2321.45,2538.69,2700.28,2713.86,2524.34,2281,2462.43,2329.34,2229.15
ENSG00000002016,5893,RAD52,"RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]","ENST00000228345,ENST00000358495,ENST00000397230,ENST00000430095,ENST00000461568,ENST00000463750,ENST00000468231,ENST00000481052,ENST00000488642,ENST00000535376,ENST00000536177,ENST00000541619,ENST00000542297,ENST00000542584,ENST00000542785,ENST00000543912,ENST00000544742,ENST00000545564,ENST00000545967",449.76,489.9,505.27,519.34,513.39,437.35,418.24,461.93,448.25
ENSG00000002079,.,MYH16,myosin heavy chain 16 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:31038],ENST00000439784,0,0,0,0,0,0,0,0,0
ENSG00000002330,572,BAD,BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936],"ENST00000309032,ENST00000394531,ENST00000394532,ENST00000492141,ENST00000493798,ENST00000544271,ENST00000544785",3416,3425,3724,3354,3585,2809,3295,2828,3065
ENSG00000002549,51056,LAP3,leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449],"ENST00000226299,ENST00000503467,ENST00000504614,ENST00000507960,ENST00000508014,ENST00000508497,ENST00000509583,ENST00000512397,ENST00000513105,ENST00000606142,ENST00000618908",5957,6435,6652,6425,6953,5685,6325,5751,6003
ENSG00000002586,4267,CD99,CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082],"ENST00000381177,ENST00000381180,ENST00000381184,ENST00000381187,ENST00000381192,ENST00000449611,ENST00000482293,ENST00000482405,ENST00000497752,ENST00000611428,ENST00000623253,ENST00000624481,ENST00000645950,ENST00000646103,ENST00000647297",8733,8805.5,9062.5,8296,9009,7529,8596.5,7518.5,7928.5
ENSG00000002587,9957,HS3ST1,heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194],"ENST00000002596,ENST00000510712,ENST00000514690",130,131,135,114,122,132,134,104,104
