"gene_id","symbol","log2FoldChange","padj","Sig"
"ENSG00000005801","ZNF195",0.0693445454534718,0.105126244844157,"NS"
"ENSG00000005810","MYCBP2",0.100270590982448,0.0358797021526223,"NS"
"ENSG00000005812","FBXL3",0.0560639011325105,0.196719446112762,"NS"
"ENSG00000005882","PDK2",-0.0407536363536807,0.379642523851458,"NS"
"ENSG00000005884","ITGA3",-0.0889262499669078,0.113005089544527,"NS"
"ENSG00000005889","ZFX",0.120442493343497,0.0278369773768087,"NS"
"ENSG00000005893","LAMP2",-0.0426804475640964,0.202103573892019,"NS"
"ENSG00000006007","GDE1",-0.0412853190641182,0.292907743506678,"NS"
"ENSG00000006015","REX1BD",-0.0627693727407925,0.147828375913515,"NS"
"ENSG00000006016","CRLF1",0.00319759480980111,NA,"NS"
"ENSG00000006042","TMEM98",-0.0259812398886163,0.589460306248838,"NS"
"ENSG00000006047","YBX2",0.000334512078915691,NA,"NS"
"ENSG00000006062","MAP3K14",-0.0158598610151404,0.7690320489026,"NS"
"ENSG00000006071","ABCC8",-2.6223868152707e-05,NA,"NS"
"ENSG00000006118","TMEM132A",-0.0798596869498228,0.0209504875139092,"NS"
"ENSG00000006125","AP2B1",0.0447887555923088,0.216268807987074,"NS"
"ENSG00000006194","ZNF263",-0.00463026642627691,0.941600469753716,"NS"
"ENSG00000006282","SPATA20",-0.0662560069830796,0.0313516336503513,"NS"
"ENSG00000006327","TNFRSF12A",-0.0227125699119858,0.666903358174557,"NS"
"ENSG00000006432","MAP3K9",0.00686504925690901,0.912465115675569,"NS"
"ENSG00000006451","RALA",-0.0095824806289562,0.862039334042731,"NS"
"ENSG00000006453","BAIAP2L1",-0.0389048828950755,0.303796657396636,"NS"
"ENSG00000006459","KDM7A",0.0254303968123915,0.621737225712645,"NS"
"ENSG00000006468","ETV1",0.097759879032667,0.00149816907038616,"NS"
"ENSG00000006530","AGK",0.0120457191960339,0.815211828475295,"NS"
"ENSG00000006534","ALDH3B1",-0.0230353573352566,NA,"NS"
"ENSG00000006576","PHTF2",0.0974053923337337,0.0141599111223378,"NS"
"ENSG00000006607","FARP2",0.021508033960008,0.667714275643634,"NS"
"ENSG00000006625","GGCT",0.0221516235996219,0.604633867424624,"NS"
"ENSG00000006634","DBF4",0.229493059958969,8.1762835724272e-09,"NS"
"ENSG00000006638","TBXA2R",0.00123984479109831,NA,"NS"
"ENSG00000006652","IFRD1",0.0502718171584962,0.201143581767008,"NS"
"ENSG00000006695","COX10",0.0122658614927161,0.830084076931419,"NS"
