"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_APICAL_JUNCTION",0.208333333333333,0.33546469740634,0.099233334377119,0.444190394865339,1.17485037109139,146,"ACTB;ACTG1;ACTN1;ACTN4;ADAM15;ADAM23;ADAM9;ADAMTS5;AKT2;ALOX15B;AMH;AMIGO1;AMIGO2;ARHGEF6;ARPC2;ATP1A3;B4GALT1;BAIAP2;BMP1;CADM2;CAP1;CD274;CD276;CD34;CD86;CD99;CDH1;CDH15;CDH8;CDK8;CERCAM;CLDN14;CLDN15;CLDN4;CLDN7;CLDN8;CLDN9"
"HALLMARK_COMPLEMENT",0.213235294117647,0.33546469740634,0.0995791200495904,0.454735721987242,1.18338451666146,129,"ADAM9;AKAP10;ANG;ANXA5;APOBEC3F;ATOX1;BRPF3;C1R;C1S;C2;CALM1;CALM3;CASP10;CASP3;CASP4;CASP7;CASP9;CBLB;CD46;CD55;CD59;CDK5R1;CEBPB;CLU;COL4A2;CP;CPQ;CSRP1;CTSB;CTSC;CTSD;CTSH;CTSL;CTSO;CTSV;DGKH;DOCK10;DOCK4;DOCK9;DPP4;DUSP5;DUSP6;DYRK2"
"HALLMARK_IL2_STAT5_SIGNALING",0.212157330154946,0.33546469740634,0.0982123351217438,0.443691174181052,1.1717882865143,145,"AGER;AHCY;AHNAK;AHR;ALCAM;AMACR;ANXA4;APLP1;ARL4A;BATF3;BCL2;BCL2L1;BHLHE40;BMPR2;CAPG;CAPN3;CASP3;CCND3;CCNE1;CD81;CD83;CD86;CDC42SE2;CDC6;CDCP1;CDKN1C"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.214697406340058,0.33546469740634,0.109250039480711,0.516458574148865,1.22730069669531,44,"ABCC1;ATOX1"
"HALLMARK_DNA_REPAIR",0.2294887039239,0.347710157460455,0.0934449219410994,0.43691801837465,1.15570322068483,147,"AAAS;ADA;ADCY6;ADRM1;AGO4;AK1;AK3;ALYREF;APRT;ARL6IP1;BCAM;BCAP31;BOLA2;BRF2"
"HALLMARK_HYPOXIA",0.294600938967136,0.420858484238766,0.0789209638180035,0.416682089553296,1.10582693250612,162,"ACKR3;ADM;ADORA2B;AK4;AKAP12;ALDOA;ALDOC;ANKZF1;ANXA2;ATF3;ATP7A;B3GALT6;BCL2;BHLHE40;BNIP3L;BTG1;CA12;CASP6;CAVIN1;CCN1;CCNG2;CDKN1A;CDKN1B;CDKN1C;CHST2;CHST3;CITED2"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.286219081272085,0.420858484238766,0.0806388495950661,0.418868094505348,1.11112159596459,152,"ABCA1;ACKR3;ATF3;ATP2B1;B4GALT1;B4GALT5;BCL3;BCL6;BHLHE40;BIRC2;BIRC3;BTG1;BTG2;BTG3;CCN1;CCND1;CCNL1;CD83;CDKN1A;CEBPB;CEBPD"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.337278106508876,0.468441814595661,0.0840745577910723,0.476746958775129,1.09650169668233,36,"ADAM17;AXIN1;AXIN2;CSNK1E;CTNNB1;CUL1;DLL1;DVL2"
"HALLMARK_G2M_CHECKPOINT",0.422196796338673,0.567438513867085,0.0597317976364411,0.379333835750179,1.02058884481359,197,"ABL1;AMD1;ARID4A;ATF5;ATRX;AURKA;AURKB;BARD1;BCL3;BIRC5;BRCA2;BUB1;BUB3;CASP8AP2;CBX1;CCNA2;CCNB2;CCND1;CCNF;CCNT1;CDC20;CDC25A;CDC25B;CDC27;CDC45;CDC6;CDC7;CDK1;CDK4;CDKN1B;CDKN2C;CDKN3;CENPA;CENPE;CENPF;CHAF1A;CHEK1;CHMP1A;CKS1B;CKS2;CTCF;CUL1;CUL3;CUL4A;CUL5;DBF4;DDX39A;DKC1;DMD;DR1;DTYMK;E2F1;E2F2;E2F3;E2F4;EFNA5;EGF"
"HALLMARK_KRAS_SIGNALING_DN",0.442602040816327,0.567438513867085,0.0626618230932491,0.39941496839043,1.01654633606497,100,"ABCB11;ADRA2C;ARHGDIG;ASB7;BARD1;BMPR1B;BRDT;BTG2;C5;CAMK1D;CAPN9;CCDC106;CDKAL1;CELSR2;CHST2;CLDN8;CLSTN3;COQ8A;CPEB3"
"HALLMARK_TGF_BETA_SIGNALING",0.432080924855491,0.567438513867085,0.0699458736501659,0.420865452347213,1.0029076096115,48,"ACVR1;APC;ARID4B;BCAR3;BMPR1A;BMPR2;CDH1;CDK9;CDKN1C"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.471626733921816,0.58953341740227,0.0590954798717342,0.383845858706015,0.983024953695009,116,"ACTA2;ADAM12;APLP1;BASP1;BMP1;CADM1;CALD1;CALU;CAP2;CAPG;CCN1;CD59;COL16A1;COL1A1;COL3A1;COL4A2;COL5A2;COL6A2;COL7A1;COLGALT1;COPA;CRLF1"
"HALLMARK_SPERMATOGENESIS",0.613821138211382,0.748562363672417,0.0501934252649434,0.361115321449237,0.888991577912404,72,"AGFG1;ALOX15;ARL4A;AURKA;BRAF;BUB1;CCNB2;CCT6B;CDK1;CDKN3;CHFR;CLGN;CLPB;CNIH2;COIL;CSNK2A2;DBF4;DMC1;DMRT1"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.637865311308767,0.759363465843771,0.0454967810085007,0.347942462728377,0.888901797944492,110,"ALDH18A1;ARFGAP1;ASNS;ATF3;ATF4;ATF6;ATP6V0D1;BAG3;BANF1;CALR;CEBPB;CEBPG;CHAC1;CKS1B;CNOT2;CNOT4;CNOT6;CXXC1;DCP1A;DCP2;DCTN1;DDIT4;DDX10;DKC1;DNAJB9;DNAJC3;EDC4;EDEM1;EEF2;EIF2AK3;EIF2S1;EIF4A1;EIF4A2;EIF4A3;EIF4E;EIF4EBP1;EIF4G1;ERN1;ERO1A;EXOC2;EXOSC1;EXOSC10;EXOSC2;EXOSC4;EXOSC5;EXOSC9"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.683834048640916,0.795155870512693,0.0477342401407188,0.353045948447696,0.845328637645376,51,"ACVR1B;BAK1;CBL;CD14;CD9"
"HALLMARK_NOTCH_SIGNALING",0.767964071856287,0.872686445291236,0.0445070537769277,0.34957583882514,0.774314456018672,29,"APH1A;ARRB1;CCND1;CUL1;DLL1;DTX2;DTX4;FBXW11;FZD1;FZD5;FZD7"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.841176470588235,0.930434782608696,0.0288567763564905,0.290972932575931,0.771530176888858,149,"ADAR;APOL6;ARID5B;ARL4A;AUTS2;B2M;BANK1;BATF2;BPGM;BST2;BTG1;C1R;C1S;CASP3;CASP4;CASP7;CASP8;CD274;CD86;CDKN1A;CIITA;CMPK2;CMTR1"
"HALLMARK_MYC_TARGETS_V1",0.856,0.930434782608696,0.0264649017470855,0.291687355837568,0.785674520901268,200,"ABCE1;ACP1;AIMP2;AP3S1;APEX1;BUB3;C1QBP;CAD;CANX;CBX3;CCNA2;CCT2;CCT3;CCT4;CCT5;CCT7;CDC20;CDC45;CDK2;CDK4;CLNS1A;CNBP;COPS5;COX5A;CSTF2;CTPS1;CUL1;CYC1;DDX18;DDX21;DEK;DHX15;DUT;EEF1B2;EIF1AX;EIF2S1;EIF2S2;EIF3B;EIF3D;EIF3J;EIF4A1;EIF4E;EIF4G2;EIF4H"
"HALLMARK_ANGIOGENESIS",0.979365079365079,0.998620689655172,0.035996889024589,0.242121594635318,0.516077080214478,20,"APP;COL3A1;COL5A2"
"HALLMARK_E2F_TARGETS",0.979428571428571,0.998620689655172,0.0187018035626708,0.248765821258967,0.670063215023585,200,"AK2;ANP32E;ASF1A;ASF1B;ATAD2;AURKA;AURKB;BARD1;BIRC5;BRCA1;BRCA2;BRMS1L;BUB1B;CBX5;CCNB2;CCNE1;CCP110;CDC20;CDC25A;CDC25B;CDCA3;CDCA8;CDK1;CDK4;CDKN1A;CDKN1B;CDKN2A;CDKN2C;CDKN3;CENPE;CENPM;CHEK1;CHEK2;CIT;CKS1B;CKS2;CNOT9;CSE1L;CTCF;CTPS1;DCK;DCLRE1B;DCTPP1;DDX39A;DEK;DEPDC1;DIAPH3;DLGAP5;DNMT1;DONSON;DSCC1;DUT;E2F8;EED"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.973787680209699,0.998620689655172,0.0268860833830403,0.238652014728651,0.596440428922383,85,"ADAR;B2M;BATF2;BST2;C1S;CASP8;CD47;CMPK2;CMTR1;CNP"
"HALLMARK_MYC_TARGETS_V2",0.998620689655172,0.998620689655172,0.0282219183873982,0.175509652663135,0.425195628998958,58,"AIMP2;BYSL;CBX3;CDK4"
