Well,450
A1,0.177
B1,0.152
C1,0.142
D1,0.222
E1,0.141
F1,0.385
G1,0.187
H1,0.153
I1,0.142
J1,0.227
K1,0.187
L1,0.251
M1,0.187
N1,0.18
O1,0.402
P1,0.157
A2,0.33
B2,0.461
C2,0.449
D2,0.44
E2,0.436
F2,0.206
G2,0.344
H2,0.166
I2,0.232
J2,0.3
K2,0.367
L2,0.362
M2,0.431
N2,0.41
O2,0.283
P2,0.215
A3,0.575
B3,0.518
C3,0.371
D3,0.474
E3,0.381
F3,0.377
G3,0.247
H3,0.206
I3,0.22
J3,0.282
K3,0.476
L3,0.35
M3,0.298
N3,0.204
O3,0.162
P3,0.251
A4,0.521
B4,0.485
C4,0.455
D4,0.401
E4,0.361
F4,0.371
G4,0.336
H4,0.279
I4,0.406
J4,0.249
K4,0.424
L4,0.389
M4,0.471
N4,0.36
O4,0.44
P4,0.442
A5,0.465
B5,0.464
C5,0.525
D5,0.353
E5,0.29
F5,0.236
G5,0.22
H5,0.261
I5,0.388
J5,0.311
K5,0.504
L5,0.306
M5,0.376
N5,0.41
O5,0.355
P5,0.414
A6,0.475
B6,0.394
C6,0.432
D6,0.396
E6,0.338
F6,0.316
G6,0.269
H6,0.274
I6,0.309
J6,0.304
K6,0.259
L6,0.175
M6,0.439
N6,0.179
O6,0.475
P6,0.415
A7,0.536
B7,0.502
C7,0.327
D7,0.382
E7,0.393
F7,0.364
G7,0.277
H7,0.263
I7,0.293
J7,0.285
K7,0.475
L7,0.387
M7,0.463
N7,0.35
O7,0.188
P7,0.234
A8,0.498
B8,0.413
C8,0.55
D8,0.428
E8,0.421
F8,0.361
G8,0.288
H8,0.278
I8,0.282
J8,0.298
K8,0.449
L8,0.303
M8,0.492
N8,0.344
O8,0.431
P8,0.228
A9,0.571
B9,0.47
C9,0.555
D9,0.437
E9,0.467
F9,0.346
G9,0.333
H9,0.279
I9,0.325
J9,0.295
K9,0.441
L9,0.319
M9,0.425
N9,0.344
O9,0.498
P9,0.37
A10,0.549
B10,0.429
C10,0.529
D10,0.424
E10,0.538
F10,0.352
G10,0.295
H10,0.274
I10,0.337
J10,0.286
K10,0.48
L10,0.362
M10,0.479
N10,0.334
O10,0.523
P10,0.366
A11,0.477
B11,0.371
C11,0.488
D11,0.394
E11,0.449
F11,0.355
G11,0.285
H11,0.269
I11,0.369
J11,0.286
K11,0.419
L11,0.326
M11,0.424
N11,0.346
O11,0.395
P11,0.363
A12,0.487
B12,0.393
C12,0.473
D12,0.375
E12,0.426
F12,0.312
G12,0.316
H12,0.261
I12,0.318
J12,0.274
K12,0.453
L12,0.367
M12,0.448
N12,0.296
O12,0.473
P12,0.38
A13,0.227
B13,0.177
C13,0.382
D13,0.351
E13,0.405
F13,0.298
G13,0.288
H13,0.259
I13,0.351
J13,0.278
K13,0.367
L13,0.289
M13,0.403
N13,0.315
O13,0.399
P13,0.366
A14,0.206
B14,0.4
C14,0.457
D14,0.376
E14,0.396
F14,0.307
G14,0.29
H14,0.241
I14,0.318
J14,0.248
K14,0.436
L14,0.283
M14,0.359
N14,0.3
O14,0.448
P14,0.368
A15,0.308
B15,0.382
C15,0.446
D15,0.332
E15,0.386
F15,0.287
G15,0.275
H15,0.246
I15,0.33
J15,0.27
K15,0.371
L15,0.301
M15,0.387
N15,0.291
O15,0.444
P15,0.341
A16,0.462
B16,0.402
C16,0.484
D16,0.322
E16,0.414
F16,0.265
G16,0.268
H16,0.241
I16,0.306
J16,0.253
K16,0.382
L16,0.289
M16,0.439
N16,0.3
O16,0.405
P16,0.346
A17,0.51
B17,0.378
C17,0.462
D17,0.309
E17,0.413
F17,0.271
G17,0.298
H17,0.244
I17,0.324
J17,0.267
K17,0.373
L17,0.265
M17,0.405
N17,0.274
O17,0.471
P17,0.356
A18,0.506
B18,0.352
C18,0.446
D18,0.327
E18,0.472
F18,0.266
G18,0.282
H18,0.237
I18,0.315
J18,0.227
K18,0.398
L18,0.27
M18,0.41
N18,0.263
O18,0.419
P18,0.329
A19,0.541
B19,0.339
C19,0.476
D19,0.297
E19,0.39
F19,0.268
G19,0.281
H19,0.231
I19,0.329
J19,0.258
K19,0.413
L19,0.259
M19,0.399
N19,0.258
O19,0.393
P19,0.291
A20,0.538
B20,0.369
C20,0.408
D20,0.291
E20,0.394
F20,0.262
G20,0.308
H20,0.23
I20,0.338
J20,0.252
K20,0.438
L20,0.281
M20,0.402
N20,0.253
O20,0.415
P20,0.343
A21,0.527
B21,0.364
C21,0.424
D21,0.296
E21,0.369
F21,0.279
G21,0.284
H21,0.237
I21,0.342
J21,0.244
K21,0.452
L21,0.257
M21,0.419
N21,0.279
O21,0.368
P21,0.339
A22,0.509
B22,0.337
C22,0.519
D22,0.292
E22,0.393
F22,0.273
G22,0.286
H22,0.237
I22,0.307
J22,0.239
K22,0.369
L22,0.282
M22,0.397
N22,0.289
O22,0.384
P22,0.288
A23,0.563
B23,0.369
C23,0.402
D23,0.302
E23,0.369
F23,0.287
G23,0.272
H23,0.24
I23,0.298
J23,0.251
K23,0.44
L23,0.269
M23,0.404
N23,0.278
O23,0.41
P23,0.262
A24,0.184
B24,0.144
C24,0.142
D24,0.156
E24,0.144
F24,0.168
G24,0.176
H24,0.165
I24,0.152
J24,0.15
K24,0.159
L24,0.142
M24,0.145
N24,0.153
O24,0.146
P24,0.16
