Well,450
A1,0.904
B1,0.637
C1,0.358
D1,0.529
E1,0.554
F1,0.518
G1,0.262
H1,0.41
I1,0.262
J1,0.305
K1,0.561
L1,0.463
M1,0.45
N1,0.493
O1,0.548
P1,0.663
A2,0.653
B2,0.534
C2,0.534
D2,0.436
E2,0.148
F2,0.431
G2,0.268
H2,0.374
I2,0.344
J2,0.25
K2,0.454
L2,0.529
M2,0.484
N2,0.405
O2,0.471
P2,0.543
A3,0.72
B3,0.461
C3,0.471
D3,0.335
E3,0.405
F3,0.283
G3,0.399
H3,0.25
I3,0.396
J3,0.36
K3,0.475
L3,0.448
M3,0.504
N3,0.16
O3,0.556
P3,0.566
A4,0.572
B4,0.483
C4,0.47
D4,0.376
E4,0.206
F4,0.382
G4,0.487
H4,0.4
I4,0.307
J4,0.392
K4,0.5
L4,0.454
M4,0.579
N4,0.337
O4,0.541
P4,0.568
A5,0.576
B5,0.154
C5,0.499
D5,0.23
E5,0.321
F5,0.449
G5,0.214
H5,0.439
I5,0.451
J5,0.431
K5,0.342
L5,0.49
M5,0.543
N5,0.555
O5,0.661
P5,0.545
A6,0.626
B6,0.481
C6,0.455
D6,0.489
E6,0.45
F6,0.519
G6,0.436
H6,0.368
I6,0.347
J6,0.472
K6,0.654
L6,0.197
M6,0.484
N6,0.519
O6,0.205
P6,0.53
A7,0.271
B7,0.231
C7,0.479
D7,0.579
E7,0.613
F7,0.521
G7,0.447
H7,0.419
I7,0.456
J7,0.454
K7,0.529
L7,0.506
M7,0.522
N7,0.427
O7,0.485
P7,0.548
A8,0.641
B8,0.551
C8,0.578
D8,0.56
E8,0.517
F8,0.628
G8,0.512
H8,0.442
I8,0.501
J8,0.383
K8,0.619
L8,0.548
M8,0.54
N8,0.395
O8,0.553
P8,0.529
A9,0.582
B9,0.475
C9,0.207
D9,0.512
E9,0.462
F9,0.499
G9,0.482
H9,0.394
I9,0.346
J9,0.424
K9,0.517
L9,0.469
M9,0.558
N9,0.43
O9,0.55
P9,0.534
A10,0.652
B10,0.559
C10,0.628
D10,0.543
E10,0.533
F10,0.594
G10,0.471
H10,0.47
I10,0.53
J10,0.41
K10,0.673
L10,0.472
M10,0.527
N10,0.409
O10,0.545
P10,0.596
A11,0.642
B11,0.541
C11,0.603
D11,0.561
E11,0.545
F11,0.526
G11,0.467
H11,0.487
I11,0.516
J11,0.547
K11,0.577
L11,0.545
M11,0.512
N11,0.426
O11,0.488
P11,0.763
A12,0.539
B12,0.5
C12,0.525
D12,0.573
E12,0.42
F12,0.441
G12,0.404
H12,0.462
I12,0.621
J12,0.528
K12,0.574
L12,0.394
M12,0.506
N12,0.462
O12,0.46
P12,0.648
A13,0.802
B13,0.503
C13,0.519
D13,0.589
E13,0.396
F13,0.516
G13,0.474
H13,0.448
I13,0.487
J13,0.353
K13,0.564
L13,0.48
M13,0.594
N13,0.388
O13,0.499
P13,0.487
A14,0.563
B14,0.493
C14,0.417
D14,0.423
E14,0.463
F14,0.464
G14,0.467
H14,0.443
I14,0.477
J14,0.28
K14,0.544
L14,0.434
M14,0.525
N14,0.384
O14,0.499
P14,0.526
A15,0.599
B15,0.445
C15,0.529
D15,0.468
E15,0.497
F15,0.326
G15,0.367
H15,0.417
I15,0.409
J15,0.39
K15,0.507
L15,0.461
M15,0.52
N15,0.605
O15,0.513
P15,0.539
A16,0.643
B16,0.518
C16,0.563
D16,0.568
E16,0.253
F16,0.397
G16,0.411
H16,0.347
I16,0.435
J16,0.363
K16,0.621
L16,0.448
M16,0.508
N16,0.423
O16,0.509
P16,0.535
A17,0.692
B17,0.491
C17,0.563
D17,0.497
E17,0.492
F17,0.385
G17,0.459
H17,0.409
I17,0.46
J17,0.408
K17,0.47
L17,0.422
M17,0.493
N17,0.448
O17,0.567
P17,0.536
A18,0.618
B18,0.458
C18,0.528
D18,0.441
E18,0.404
F18,0.418
G18,0.443
H18,0.365
I18,0.43
J18,0.342
K18,0.565
L18,0.385
M18,0.599
N18,0.45
O18,0.207
P18,0.533
A19,0.598
B19,0.518
C19,0.412
D19,0.475
E19,0.518
F19,0.4
G19,0.428
H19,0.39
I19,0.488
J19,0.44
K19,0.387
L19,0.375
M19,0.664
N19,0.444
O19,0.506
P19,0.464
A20,0.633
B20,0.566
C20,0.596
D20,0.447
E20,0.474
F20,0.571
G20,0.418
H20,0.391
I20,0.5
J20,0.435
K20,0.455
L20,0.454
M20,0.502
N20,0.448
O20,0.469
P20,0.495
A21,0.624
B21,0.532
C21,0.481
D21,0.42
E21,0.564
F21,0.368
G21,0.489
H21,0.399
I21,0.551
J21,0.424
K21,0.47
L21,0.408
M21,0.496
N21,0.499
O21,0.545
P21,0.476
A22,0.604
B22,0.526
C22,0.552
D22,0.448
E22,0.48
F22,0.435
G22,0.434
H22,0.418
I22,0.39
J22,0.354
K22,0.439
L22,0.411
M22,0.522
N22,0.633
O22,0.585
P22,0.491
A23,0.656
B23,0.515
C23,0.557
D23,0.407
E23,0.452
F23,0.474
G23,0.401
H23,0.406
I23,0.43
J23,0.346
K23,0.488
L23,0.545
M23,0.549
N23,0.495
O23,0.702
P23,0.505
A24,0.151
B24,0.154
C24,0.143
D24,0.15
E24,0.151
F24,0.151
G24,0.133
H24,0.147
I24,0.155
J24,0.147
K24,0.146
L24,0.224
M24,0.166
N24,0.142
O24,0.15
P24,0.155
