Well,450
A1,0.259
B1,0.175
C1,0.204
D1,0.323
E1,0.461
F1,0.175
G1,0.216
H1,0.348
I1,0.171
J1,0.177
K1,0.374
L1,0.41
M1,0.42
N1,0.262
O1,0.601
P1,0.328
A2,0.484
B2,0.552
C2,0.497
D2,0.181
E2,0.171
F2,0.206
G2,0.148
H2,0.237
I2,0.145
J2,0.187
K2,0.325
L2,0.257
M2,0.512
N2,0.456
O2,0.412
P2,0.497
A3,0.514
B3,0.504
C3,0.431
D3,0.263
E3,0.363
F3,0.365
G3,0.242
H3,0.164
I3,0.407
J3,0.194
K3,0.335
L3,0.481
M3,0.373
N3,0.166
O3,0.298
P3,0.464
A4,0.497
B4,0.44
C4,0.476
D4,0.396
E4,0.352
F4,0.444
G4,0.485
H4,0.411
I4,0.293
J4,0.467
K4,0.533
L4,0.431
M4,0.486
N4,0.488
O4,0.786
P4,0.553
A5,0.48
B5,0.155
C5,0.385
D5,0.188
E5,0.39
F5,0.166
G5,0.176
H5,0.4
I5,0.492
J5,0.332
K5,0.175
L5,0.471
M5,0.554
N5,0.338
O5,0.723
P5,0.498
A6,0.489
B6,0.186
C6,0.466
D6,0.405
E6,0.339
F6,0.285
G6,0.474
H6,0.421
I6,0.334
J6,0.444
K6,0.686
L6,0.154
M6,0.524
N6,0.238
O6,0.173
P6,0.512
A7,0.166
B7,0.157
C7,0.172
D7,0.425
E7,0.305
F7,0.336
G7,0.247
H7,0.423
I7,0.432
J7,0.369
K7,0.339
L7,0.375
M7,0.379
N7,0.505
O7,0.158
P7,0.493
A8,0.514
B8,0.478
C8,0.484
D8,0.417
E8,0.441
F8,0.352
G8,0.528
H8,0.444
I8,0.441
J8,0.298
K8,0.522
L8,0.567
M8,0.472
N8,0.195
O8,0.327
P8,0.52
A9,0.503
B9,0.402
C9,0.44
D9,0.378
E9,0.416
F9,0.349
G9,0.457
H9,0.369
I9,0.487
J9,0.394
K9,0.743
L9,0.439
M9,0.466
N9,0.487
O9,0.558
P9,0.522
A10,0.497
B10,0.42
C10,0.454
D10,0.412
E10,0.437
F10,0.311
G10,0.477
H10,0.416
I10,0.453
J10,0.418
K10,0.664
L10,0.402
M10,0.478
N10,0.552
O10,0.536
P10,0.466
A11,0.484
B11,0.409
C11,0.456
D11,0.405
E11,0.479
F11,0.361
G11,0.416
H11,0.383
I11,0.41
J11,0.344
K11,0.484
L11,0.397
M11,0.561
N11,0.455
O11,0.473
P11,0.454
A12,0.483
B12,0.419
C12,0.494
D12,0.357
E12,0.415
F12,0.347
G12,0.458
H12,0.37
I12,0.387
J12,0.337
K12,0.464
L12,0.412
M12,0.538
N12,0.416
O12,0.461
P12,0.466
A13,0.182
B13,0.445
C13,0.197
D13,0.405
E13,0.461
F13,0.392
G13,0.508
H13,0.428
I13,0.467
J13,0.407
K13,0.551
L13,0.456
M13,0.534
N13,0.463
O13,0.547
P13,0.471
A14,0.403
B14,0.434
C14,0.439
D14,0.376
E14,0.434
F14,0.376
G14,0.506
H14,0.376
I14,0.392
J14,0.421
K14,0.469
L14,0.374
M14,0.487
N14,0.514
O14,0.593
P14,0.483
A15,0.543
B15,0.386
C15,0.473
D15,0.381
E15,0.467
F15,0.372
G15,0.478
H15,0.358
I15,0.458
J15,0.378
K15,0.449
L15,0.384
M15,0.473
N15,0.55
O15,0.517
P15,0.46
A16,0.55
B16,0.398
C16,0.506
D16,0.38
E16,0.453
F16,0.34
G16,0.455
H16,0.363
I16,0.409
J16,0.383
K16,0.511
L16,0.431
M16,0.528
N16,0.468
O16,0.462
P16,0.426
A17,0.561
B17,0.373
C17,0.478
D17,0.408
E17,0.418
F17,0.392
G17,0.523
H17,0.411
I17,0.369
J17,0.358
K17,0.526
L17,0.365
M17,0.552
N17,0.46
O17,0.526
P17,0.463
A18,0.596
B18,0.361
C18,0.456
D18,0.388
E18,0.52
F18,0.336
G18,0.493
H18,0.349
I18,0.426
J18,0.348
K18,0.585
L18,0.433
M18,0.516
N18,0.399
O18,0.227
P18,0.468
A19,0.413
B19,0.371
C19,0.522
D19,0.349
E19,0.462
F19,0.32
G19,0.523
H19,0.389
I19,0.437
J19,0.348
K19,0.47
L19,0.429
M19,0.503
N19,0.414
O19,0.502
P19,0.452
A20,0.511
B20,0.32
C20,0.49
D20,0.36
E20,0.417
F20,0.409
G20,0.521
H20,0.361
I20,0.432
J20,0.369
K20,0.458
L20,0.463
M20,0.473
N20,0.382
O20,0.512
P20,0.436
A21,0.484
B21,0.366
C21,0.502
D21,0.349
E21,0.534
F21,0.377
G21,0.402
H21,0.336
I21,0.47
J21,0.371
K21,0.457
L21,0.378
M21,0.474
N21,0.45
O21,0.491
P21,0.41
A22,0.511
B22,0.356
C22,0.404
D22,0.344
E22,0.409
F22,0.357
G22,0.425
H22,0.321
I22,0.392
J22,0.351
K22,0.447
L22,0.38
M22,0.489
N22,0.371
O22,0.555
P22,0.432
A23,0.476
B23,0.341
C23,0.528
D23,0.344
E23,0.421
F23,0.326
G23,0.413
H23,0.361
I23,0.445
J23,0.358
K23,0.455
L23,0.375
M23,0.412
N23,0.435
O23,0.544
P23,0.443
A24,0.181
B24,0.167
C24,0.162
D24,0.168
E24,0.162
F24,0.169
G24,0.161
H24,0.165
I24,0.172
J24,0.152
K24,0.176
L24,0.165
M24,0.185
N24,0.185
O24,0.184
P24,0.196
