Well,450
A1,0.412
B1,0.483
C1,0.449
D1,0.467
E1,0.466
F1,0.473
G1,0.551
H1,0.474
I1,0.259
J1,0.4
K1,0.495
L1,0.519
M1,0.534
N1,0.607
O1,0.518
P1,0.638
A2,0.433
B2,0.538
C2,0.482
D2,0.523
E2,0.334
F2,0.484
G2,0.508
H2,0.471
I2,0.364
J2,0.388
K2,0.458
L2,0.549
M2,0.498
N2,0.583
O2,0.461
P2,0.452
A3,0.513
B3,0.433
C3,0.47
D3,0.385
E3,0.57
F3,0.503
G3,0.383
H3,0.408
I3,0.444
J3,0.487
K3,0.506
L3,0.439
M3,0.507
N3,0.247
O3,0.503
P3,0.499
A4,0.462
B4,0.62
C4,0.557
D4,0.428
E4,0.444
F4,0.586
G4,0.577
H4,0.557
I4,0.438
J4,0.484
K4,0.506
L4,0.53
M4,0.538
N4,0.472
O4,0.496
P4,0.599
A5,0.589
B5,0.179
C5,0.439
D5,0.357
E5,0.499
F5,0.54
G5,0.404
H5,0.466
I5,0.542
J5,0.576
K5,0.434
L5,0.687
M5,0.6
N5,0.53
O5,0.547
P5,0.621
A6,0.568
B6,0.511
C6,0.485
D6,0.557
E6,0.521
F6,0.545
G6,0.575
H6,0.478
I6,0.409
J6,0.588
K6,0.759
L6,0.381
M6,0.543
N6,0.531
O6,0.265
P6,0.541
A7,0.42
B7,0.271
C7,0.591
D7,0.51
E7,0.554
F7,0.429
G7,0.434
H7,0.62
I7,0.524
J7,0.595
K7,0.496
L7,0.577
M7,0.75
N7,0.677
O7,0.6
P7,0.619
A8,0.674
B8,0.562
C8,0.597
D8,0.576
E8,0.492
F8,0.566
G8,0.496
H8,0.497
I8,0.591
J8,0.416
K8,0.511
L8,0.647
M8,0.565
N8,0.57
O8,0.513
P8,0.569
A9,0.622
B9,0.447
C9,0.306
D9,0.511
E9,0.665
F9,0.569
G9,0.489
H9,0.501
I9,0.584
J9,0.578
K9,0.489
L9,0.522
M9,0.529
N9,0.64
O9,0.47
P9,0.563
A10,0.651
B10,0.513
C10,0.505
D10,0.595
E10,0.584
F10,0.56
G10,0.536
H10,0.586
I10,0.561
J10,0.554
K10,0.584
L10,0.643
M10,0.57
N10,0.583
O10,0.602
P10,0.614
A11,0.546
B11,0.536
C11,0.581
D11,0.423
E11,0.533
F11,0.545
G11,0.591
H11,0.535
I11,0.543
J11,0.782
K11,0.772
L11,0.571
M11,0.566
N11,0.534
O11,0.562
P11,0.576
A12,0.451
B12,0.785
C12,0.445
D12,0.523
E12,0.432
F12,0.59
G12,0.438
H12,0.529
I12,0.478
J12,0.64
K12,0.712
L12,0.592
M12,0.54
N12,0.601
O12,0.587
P12,0.705
A13,0.444
B13,0.587
C13,0.512
D13,0.579
E13,0.422
F13,0.442
G13,0.524
H13,0.583
I13,0.657
J13,0.503
K13,0.586
L13,0.57
M13,0.451
N13,0.526
O13,0.569
P13,0.53
A14,0.465
B14,0.472
C14,0.567
D14,0.629
E14,0.535
F14,0.511
G14,0.537
H14,0.522
I14,0.689
J14,0.392
K14,0.472
L14,0.601
M14,0.685
N14,0.572
O14,0.488
P14,0.507
A15,0.608
B15,0.569
C15,0.429
D15,0.568
E15,0.521
F15,0.557
G15,0.389
H15,0.536
I15,0.415
J15,0.517
K15,0.543
L15,0.467
M15,0.646
N15,0.577
O15,0.664
P15,0.658
A16,0.632
B16,0.551
C16,0.551
D16,0.531
E16,0.283
F16,0.545
G16,0.565
H16,0.515
I16,0.44
J16,0.447
K16,0.645
L16,0.519
M16,0.621
N16,0.59
O16,0.708
P16,0.562
A17,0.616
B17,0.75
C17,0.763
D17,0.461
E17,0.458
F17,0.496
G17,0.546
H17,0.471
I17,0.703
J17,0.416
K17,0.617
L17,0.486
M17,0.641
N17,0.527
O17,0.717
P17,0.577
A18,0.503
B18,0.523
C18,0.462
D18,0.426
E18,0.405
F18,0.459
G18,0.54
H18,0.457
I18,0.536
J18,0.413
K18,0.583
L18,0.474
M18,0.592
N18,0.495
O18,0.261
P18,0.565
A19,0.502
B19,0.58
C19,0.459
D19,0.584
E19,0.442
F19,0.406
G19,0.489
H19,0.538
I19,0.473
J19,0.494
K19,0.563
L19,0.387
M19,0.587
N19,0.505
O19,0.541
P19,0.574
A20,0.623
B20,0.546
C20,0.492
D20,0.531
E20,0.46
F20,0.548
G20,0.398
H20,0.47
I20,0.458
J20,0.512
K20,0.608
L20,0.622
M20,0.632
N20,0.539
O20,0.507
P20,0.551
A21,0.548
B21,0.485
C21,0.427
D21,0.51
E21,0.555
F21,0.381
G21,0.503
H21,0.6
I21,0.496
J21,0.517
K21,0.602
L21,0.547
M21,0.518
N21,0.596
O21,0.542
P21,0.532
A22,0.574
B22,0.523
C22,0.492
D22,0.466
E22,0.426
F22,0.438
G22,0.449
H22,0.459
I22,0.576
J22,0.421
K22,0.531
L22,0.457
M22,0.735
N22,0.547
O22,0.536
P22,0.556
A23,0.681
B23,0.589
C23,0.447
D23,0.509
E23,0.426
F23,0.437
G23,0.54
H23,0.404
I23,0.493
J23,0.402
K23,0.507
L23,0.41
M23,0.555
N23,0.507
O23,0.582
P23,0.584
A24,0.166
B24,0.183
C24,0.142
D24,0.179
E24,0.16
F24,0.147
G24,0.15
H24,0.141
I24,0.167
J24,0.149
K24,0.143
L24,0.152
M24,0.149
N24,0.186
O24,0.16
P24,0.162
