Well,450
A1,0.585
B1,0.373
C1,0.411
D1,0.347
E1,0.327
F1,0.397
G1,0.24
H1,0.211
I1,0.267
J1,0.334
K1,0.438
L1,0.386
M1,0.208
N1,0.388
O1,0.522
P1,0.587
A2,0.257
B2,0.336
C2,0.384
D2,0.35
E2,0.416
F2,0.359
G2,0.18
H2,0.246
I2,0.288
J2,0.206
K2,0.382
L2,0.333
M2,0.386
N2,0.373
O2,0.362
P2,0.338
A3,0.335
B3,0.29
C3,0.346
D3,0.413
E3,0.391
F3,0.357
G3,0.228
H3,0.234
I3,0.204
J3,0.292
K3,0.394
L3,0.359
M3,0.381
N3,0.329
O3,0.395
P3,0.38
A4,0.371
B4,0.342
C4,0.401
D4,0.418
E4,0.387
F4,0.346
G4,0.237
H4,0.26
I4,0.296
J4,0.299
K4,0.367
L4,0.329
M4,0.37
N4,0.437
O4,0.4
P4,0.466
A5,0.382
B5,0.301
C5,0.311
D5,0.211
E5,0.341
F5,0.189
G5,0.149
H5,0.241
I5,0.308
J5,0.295
K5,0.374
L5,0.284
M5,0.464
N5,0.411
O5,0.399
P5,0.393
A6,0.335
B6,0.293
C6,0.352
D6,0.342
E6,0.381
F6,0.323
G6,0.303
H6,0.267
I6,0.296
J6,0.307
K6,0.299
L6,0.175
M6,0.429
N6,0.173
O6,0.387
P6,0.396
A7,0.392
B7,0.296
C7,0.334
D7,0.353
E7,0.363
F7,0.381
G7,0.247
H7,0.263
I7,0.288
J7,0.309
K7,0.394
L7,0.34
M7,0.414
N7,0.359
O7,0.276
P7,0.346
A8,0.372
B8,0.306
C8,0.397
D8,0.364
E8,0.385
F8,0.37
G8,0.243
H8,0.295
I8,0.339
J8,0.293
K8,0.411
L8,0.344
M8,0.396
N8,0.362
O8,0.385
P8,0.389
A9,0.379
B9,0.314
C9,0.385
D9,0.403
E9,0.362
F9,0.359
G9,0.231
H9,0.269
I9,0.3
J9,0.28
K9,0.36
L9,0.309
M9,0.42
N9,0.402
O9,0.385
P9,0.359
A10,0.341
B10,0.335
C10,0.38
D10,0.341
E10,0.385
F10,0.345
G10,0.282
H10,0.277
I10,0.29
J10,0.298
K10,0.37
L10,0.31
M10,0.379
N10,0.316
O10,0.395
P10,0.409
A11,0.388
B11,0.338
C11,0.362
D11,0.362
E11,0.426
F11,0.318
G11,0.306
H11,0.261
I11,0.309
J11,0.264
K11,0.333
L11,0.286
M11,0.41
N11,0.334
O11,0.407
P11,0.456
A12,0.529
B12,0.307
C12,0.354
D12,0.313
E12,0.398
F12,0.325
G12,0.254
H12,0.248
I12,0.27
J12,0.253
K12,0.342
L12,0.293
M12,0.385
N12,0.34
O12,0.438
P12,0.349
A13,0.371
B13,0.352
C13,0.416
D13,0.341
E13,0.424
F13,0.382
G13,0.291
H13,0.281
I13,0.359
J13,0.275
K13,0.33
L13,0.303
M13,0.375
N13,0.33
O13,0.426
P13,0.386
A14,0.387
B14,0.304
C14,0.354
D14,0.373
E14,0.354
F14,0.299
G14,0.257
H14,0.254
I14,0.36
J14,0.211
K14,0.326
L14,0.285
M14,0.392
N14,0.328
O14,0.411
P14,0.38
A15,0.381
B15,0.325
C15,0.364
D15,0.321
E15,0.377
F15,0.279
G15,0.277
H15,0.259
I15,0.346
J15,0.274
K15,0.335
L15,0.316
M15,0.395
N15,0.348
O15,0.434
P15,0.349
A16,0.387
B16,0.323
C16,0.364
D16,0.319
E16,0.367
F16,0.292
G16,0.263
H16,0.245
I16,0.325
J16,0.253
K16,0.343
L16,0.292
M16,0.407
N16,0.375
O16,0.405
P16,0.417
A17,0.411
B17,0.336
C17,0.396
D17,0.331
E17,0.364
F17,0.32
G17,0.267
H17,0.238
I17,0.3
J17,0.257
K17,0.362
L17,0.277
M17,0.402
N17,0.327
O17,0.426
P17,0.388
A18,0.314
B18,0.29
C18,0.367
D18,0.32
E18,0.46
F18,0.293
G18,0.269
H18,0.239
I18,0.304
J18,0.254
K18,0.346
L18,0.273
M18,0.385
N18,0.278
O18,0.398
P18,0.353
A19,0.394
B19,0.332
C19,0.39
D19,0.278
E19,0.35
F19,0.327
G19,0.265
H19,0.219
I19,0.312
J19,0.254
K19,0.344
L19,0.266
M19,0.406
N19,0.316
O19,0.387
P19,0.385
A20,0.341
B20,0.334
C20,0.358
D20,0.283
E20,0.348
F20,0.321
G20,0.259
H20,0.234
I20,0.325
J20,0.25
K20,0.321
L20,0.264
M20,0.372
N20,0.335
O20,0.373
P20,0.361
A21,0.344
B21,0.322
C21,0.349
D21,0.344
E21,0.363
F21,0.333
G21,0.247
H21,0.245
I21,0.344
J21,0.259
K21,0.312
L21,0.257
M21,0.384
N21,0.334
O21,0.434
P21,0.335
A22,0.411
B22,0.313
C22,0.337
D22,0.343
E22,0.368
F22,0.352
G22,0.275
H22,0.229
I22,0.329
J22,0.267
K22,0.327
L22,0.27
M22,0.359
N22,0.242
O22,0.377
P22,0.39
A23,0.373
B23,0.316
C23,0.36
D23,0.288
E23,0.35
F23,0.278
G23,0.251
H23,0.232
I23,0.28
J23,0.232
K23,0.369
L23,0.273
M23,0.355
N23,0.318
O23,0.388
P23,0.413
A24,0.146
B24,0.154
C24,0.154
D24,0.144
E24,0.143
F24,0.144
G24,0.145
H24,0.14
I24,0.154
J24,0.144
K24,0.138
L24,0.143
M24,0.161
N24,0.143
O24,0.155
P24,0.147
